experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0
1_tooluseinVR,d1-001,1,1,1,1,301.6023,306.277,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-001,1,2,1,2,310.3093,312.3526,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-001,1,3,1,3,316.4059,318.383,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-001,1,4,1,4,322.4371,324.8468,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-001,1,5,1,5,328.9004,329.9777,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-001,1,6,1,6,334.0202,335.6638,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-001,1,7,1,7,339.7065,341.2504,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-001,1,8,1,8,345.304,347.0702,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-001,1,9,1,9,351.1232,354.5663,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-001,1,10,1,10,358.6187,360.0638,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-001,1,11,1,11,364.1173,365.8164,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-001,1,12,1,12,369.8702,374.8677,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
1_tooluseinVR,d1-001,1,13,1,13,378.9215,379.7987,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T013.csv,,,,,,
1_tooluseinVR,d1-001,1,14,1,14,383.8412,384.541,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T014.csv,,,,,,
1_tooluseinVR,d1-001,1,15,1,15,388.5946,390.383,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T015.csv,,,,,,
1_tooluseinVR,d1-001,1,16,1,16,394.4363,396.6685,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T016.csv,,,,,,
1_tooluseinVR,d1-001,1,17,1,17,400.7006,401.5773,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T017.csv,,,,,,
1_tooluseinVR,d1-001,1,18,1,18,405.6311,409.9735,1_tooluseinVR/d1-001/S001/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d1-001/S001/trackers/landmark/landmark_eyeTrackingData_T018.csv,,,,,,
1_tooluseinVR,d1-001,1,19,2,1,602.426,606.868,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T019.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,,,
