experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d-1-002,1,1,1,1,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,,
1_tooluseinVR,d-1-002,1,2,1,2,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,,
1_tooluseinVR,d-1-002,1,3,1,3,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,,
1_tooluseinVR,d-1-002,1,4,1,4,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,,
1_tooluseinVR,d-1-002,1,5,1,5,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,,
1_tooluseinVR,d-1-002,1,6,1,6,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,,
1_tooluseinVR,d-1-002,1,7,1,7,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,,
1_tooluseinVR,d-1-002,1,8,1,8,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,,
1_tooluseinVR,d-1-002,1,9,1,9,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,,
1_tooluseinVR,d-1-002,1,10,1,10,,,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,,
