experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d-1-001,2,1,1,1,102.1117,104.9018,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T001.csv
1_tooluseinVR,d-1-001,2,2,1,2,109.0121,113.187,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T002.csv
1_tooluseinVR,d-1-001,2,3,1,3,117.2201,120.2192,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T003.csv
1_tooluseinVR,d-1-001,2,4,1,4,134.4657,137.6434,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T004.csv
1_tooluseinVR,d-1-001,2,5,1,5,141.675,145.9378,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T005.csv
1_tooluseinVR,d-1-001,2,6,1,6,149.9808,155.0671,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T006.csv
1_tooluseinVR,d-1-001,2,7,1,7,159.1101,163.9306,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T007.csv
1_tooluseinVR,d-1-001,2,8,1,8,167.9616,171.8054,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T008.csv
1_tooluseinVR,d-1-001,2,9,1,9,175.8586,180.0226,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T009.csv
1_tooluseinVR,d-1-001,2,10,1,10,184.066,187.2307,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T010.csv
1_tooluseinVR,d-1-001,2,11,1,11,191.2738,192.773,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T011.csv
1_tooluseinVR,d-1-001,2,12,1,12,196.8257,199.236,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T012.csv
1_tooluseinVR,d-1-001,2,13,1,13,203.2672,204.7662,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T013.csv
1_tooluseinVR,d-1-001,2,14,1,14,208.7989,210.3875,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T014.csv
1_tooluseinVR,d-1-001,2,15,1,15,214.43,216.7503,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T015.csv
1_tooluseinVR,d-1-001,2,16,1,16,220.7929,223.6911,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T016.csv
1_tooluseinVR,d-1-001,2,17,1,17,227.7336,230.3108,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T017.csv
1_tooluseinVR,d-1-001,2,18,1,18,234.3532,235.3862,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d-1-001/S002/trackers/landmark/landmark_eyeTrackingData_T018.csv
