experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-004,1,1,1,1,1031.988,1037.942,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T001.csv,,,,,
1_tooluseinVR,d1-004,1,2,1,2,1043.064,1064.374,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T002.csv,,,,,
1_tooluseinVR,d1-004,1,3,1,3,1067.329,1073.216,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T003.csv,,,,,
1_tooluseinVR,d1-004,1,4,1,4,1076.168,1081.522,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T004.csv,,,,,
1_tooluseinVR,d1-004,1,5,1,5,1084.476,1090.573,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T005.csv,,,,,
1_tooluseinVR,d1-004,1,6,1,6,1093.528,1097.727,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T006.csv,,,,,
1_tooluseinVR,d1-004,1,7,1,7,1115.461,1120.615,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T007.csv,,,,,
1_tooluseinVR,d1-004,1,8,1,8,1123.569,1128.868,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T008.csv,,,,,
1_tooluseinVR,d1-004,1,9,1,9,1131.819,1136.13,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T009.csv,,,,,
1_tooluseinVR,d1-004,1,10,1,10,1139.083,1144.881,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,1_tooluseinVR/d1-004/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T010.csv,,,,,
