experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-005,1,1,1,1,569.4955,573.3843,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-005,1,2,1,2,577.4375,579.3144,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-005,1,3,1,3,583.368,583.9122,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-005,1,4,1,4,587.9547,590.5204,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-005,1,5,1,5,594.5743,596.151,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-005,1,6,1,6,600.1935,602.5036,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-005,1,7,1,7,606.5576,608.6228,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-005,1,8,1,8,612.6765,614.1203,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-005,1,9,1,9,618.1741,619.4843,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-005,1,10,1,10,623.5383,627.725,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-005,1,11,1,11,631.7791,632.2672,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-005,1,12,1,12,636.3211,637.3763,1_tooluseinVR/d1-005/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-005/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
