experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-007,1,1,1,1,151.1915,153.5125,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-007,1,2,1,2,157.5662,161.8197,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-007,1,3,1,3,165.8734,168.35,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-007,1,4,1,4,172.4037,176.5019,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-007,1,5,1,5,180.5554,184.2537,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-007,1,6,1,6,188.3076,191.6392,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-007,1,7,1,7,195.6929,200.1577,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-007,1,8,1,8,204.211,207.865,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-007,1,9,1,9,211.9186,216.4831,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-007,1,10,1,10,220.5367,221.4029,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-007,1,11,1,11,225.4568,228.3441,1_tooluseinVR/d1-007/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-007/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
