experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-008,1,1,1,1,364.1985,367.475,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-008,1,2,1,2,371.5285,374.6048,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-008,1,3,1,3,378.6584,381.0796,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-008,1,4,1,4,385.1334,388.1877,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-008,1,5,1,5,404.5019,408.2778,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-008,1,6,1,6,412.3314,416.785,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-008,1,7,1,7,420.8387,422.2491,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-008,1,8,1,8,426.3026,427.5354,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-008,1,9,1,9,431.5785,432.6108,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-008,1,10,1,10,436.6638,437.8518,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-008,1,11,1,11,441.8954,445.0495,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-008,1,12,1,12,449.1035,450.6577,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
1_tooluseinVR,d1-008,1,13,1,13,454.7115,456.1557,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T013.csv,,,,,,
1_tooluseinVR,d1-008,1,14,1,14,460.1979,462.8965,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T014.csv,,,,,,
1_tooluseinVR,d1-008,1,15,1,15,466.9502,472.1921,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T015.csv,,,,,,
1_tooluseinVR,d1-008,1,16,1,16,476.2454,477.4566,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T016.csv,,,,,,
1_tooluseinVR,d1-008,1,17,1,17,481.51,484.4084,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T017.csv,,,,,,
1_tooluseinVR,d1-008,1,18,1,18,488.4623,489.9394,1_tooluseinVR/d1-008/S001/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d1-008/S001/trackers/landmark/landmark_eyeTrackingData_T018.csv,,,,,,
1_tooluseinVR,d1-008,1,19,2,1,748.3716,753.5474,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T019.csv,,,
1_tooluseinVR,d1-008,1,20,2,2,758.1865,762.4197,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T020.csv,,,
1_tooluseinVR,d1-008,1,21,2,3,765.3738,769.9163,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T021.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T021.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T021.csv,,,
1_tooluseinVR,d1-008,1,22,2,4,774.2112,778.5359,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T022.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T022.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T022.csv,,,
1_tooluseinVR,d1-008,1,23,2,5,781.866,785.9649,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T023.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T023.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T023.csv,,,
1_tooluseinVR,d1-008,1,24,2,6,788.9181,793.3829,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T024.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T024.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T024.csv,,,
1_tooluseinVR,d1-008,1,25,2,7,796.937,801.4453,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T025.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T025.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T025.csv,,,
1_tooluseinVR,d1-008,1,26,2,8,804.4003,808.5527,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T026.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T026.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T026.csv,,,
1_tooluseinVR,d1-008,1,27,2,9,811.5068,816.0505,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T027.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T027.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T027.csv,,,
