experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-010,1,1,1,1,462.3399,467.5034,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-010,1,2,1,2,471.5355,472.3906,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-010,1,3,1,3,476.4332,481.0648,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-010,1,4,1,4,485.1068,485.8176,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-010,1,5,1,5,489.8597,491.7483,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-010,1,6,1,6,495.8019,496.3243,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-010,1,7,1,7,500.3668,501.1992,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-010,1,8,1,8,505.253,505.6307,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-010,1,9,1,9,509.6843,511.0059,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-010,1,10,1,10,515.0374,518.48,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
