participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-012,4,86,wrist,0.2699,0.6830,-1.4367,0.0000,0,start
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,5.0723,start
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,10.0453,start
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,15.0325,start
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,20.0187,start
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,25.0052,start
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,29.9924,start
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,34.9786,start
d1-012,4,86,wrist,0.2662,0.6824,-1.4354,0.0000,39.9651,start
d1-012,4,86,wrist,0.2663,0.6824,-1.4354,0.0000,44.9523,begin
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,49.9393,begin
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,54.9259,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,59.9121,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,64.8989,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,69.8855,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,76.8674,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,81.8538,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,86.8401,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,91.827,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,96.8147,begin
d1-012,4,86,wrist,0.2663,0.6823,-1.4354,0.0000,101.8004,begin
d1-012,4,86,wrist,0.2665,0.6822,-1.4353,0.0000,106.3174,begin
d1-012,4,86,wrist,0.2664,0.6821,-1.4353,0.0000,111.304,begin
d1-012,4,86,wrist,0.2664,0.6821,-1.4353,0.0000,116.2903,begin
d1-012,4,86,wrist,0.2664,0.6821,-1.4353,0.0000,122.275,begin
d1-012,4,86,wrist,0.2665,0.6821,-1.4353,0.0000,127.2612,begin
d1-012,4,86,wrist,0.2665,0.6821,-1.4353,0.0000,132.2482,begin
d1-012,4,86,wrist,0.2665,0.6821,-1.4353,0.0000,137.2343,begin
d1-012,4,86,wrist,0.2663,0.6822,-1.4354,0.0000,142.2212,begin
d1-012,4,86,wrist,0.2663,0.6822,-1.4354,0.0000,147.2088,begin
d1-012,4,86,wrist,0.2663,0.6822,-1.4354,0.0000,152.1948,begin
d1-012,4,86,wrist,0.2665,0.6821,-1.4353,0.0000,157.1818,begin
d1-012,4,86,wrist,0.2665,0.6820,-1.4353,0.0000,162.1679,begin
d1-012,4,86,wrist,0.2665,0.6820,-1.4353,0.0000,167.1548,begin
d1-012,4,86,wrist,0.2665,0.6820,-1.4353,0.0000,172.1412,begin
d1-012,4,86,wrist,0.2665,0.6820,-1.4353,0.0000,177.1284,begin
d1-012,4,86,wrist,0.2665,0.6820,-1.4353,0.0000,182.1149,begin
d1-012,4,86,wrist,0.2665,0.6820,-1.4353,0.0000,187.1013,begin
d1-012,4,86,wrist,0.2665,0.6820,-1.4353,0.0000,192.0881,begin
d1-012,4,86,wrist,0.2662,0.6821,-1.4355,0.0000,197.0749,begin
