experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-015,1,1,1,1,1750.362,1763.237,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T001.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,,,,,
1_tooluseinVR,d1-015,1,2,1,2,2139.668,2148.811,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T002.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,,,,,
1_tooluseinVR,d1-015,1,3,1,3,2151.764,2158.451,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T003.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,,,,,
1_tooluseinVR,d1-015,1,4,1,4,2161.412,2168.301,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T004.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,,,,,
1_tooluseinVR,d1-015,1,5,1,5,2171.254,2178.027,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T005.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,,,,,
1_tooluseinVR,d1-015,1,6,1,6,2181.639,2189.635,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T006.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,,,,,
1_tooluseinVR,d1-015,1,7,1,7,2194.299,2200.153,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T007.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,,,,,
1_tooluseinVR,d1-015,1,8,1,8,2203.105,2208.082,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T008.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,,,,,
1_tooluseinVR,d1-015,1,9,1,9,2211.036,2216.221,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T009.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,,,,,
1_tooluseinVR,d1-015,1,10,1,10,2219.177,2225.019,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T010.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,,,,,
1_tooluseinVR,d1-015,1,11,1,11,2227.972,2233.393,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T011.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,,,,,
1_tooluseinVR,d1-015,1,12,1,12,2236.345,2241.676,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T012.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,,,,,
1_tooluseinVR,d1-015,1,13,1,13,2244.631,2250.45,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T013.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,,,,,
1_tooluseinVR,d1-015,1,14,1,14,2256.004,2262.368,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T014.csv,1_tooluseinVR/d1-015/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,,,,,
