experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d1-022,2,1,1,1,183.4132,193.9754,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T019.csv,,,,,
1_tooluseinVR,d1-022,2,2,1,2,196.9291,201.8157,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T020.csv,,,,,
1_tooluseinVR,d1-022,2,3,1,3,218.7298,223.7063,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T021.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T021.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T021.csv,,,,,
1_tooluseinVR,d1-022,2,4,1,4,226.6596,230.8808,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T022.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T022.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T022.csv,,,,,
1_tooluseinVR,d1-022,2,5,1,5,233.9895,238.0332,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T023.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T023.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T023.csv,,,,,
1_tooluseinVR,d1-022,2,6,1,6,261.7315,266.3414,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T024.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T024.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T024.csv,,,,,
1_tooluseinVR,d1-022,2,7,1,7,269.2949,273.5494,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T025.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T025.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T025.csv,,,,,
1_tooluseinVR,d1-022,2,8,1,8,280.5766,285.4868,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T026.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T026.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T026.csv,,,,,
1_tooluseinVR,d1-022,2,9,1,9,295.4263,299.659,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T027.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T027.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T027.csv,,,,,
1_tooluseinVR,d1-022,2,10,1,10,302.9461,307.0668,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T028.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T028.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T028.csv,,,,,
