experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0
2_toolusenotinVR,201,2,1,1,1,352.1562,359.8397,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T037.csv,,,
2_toolusenotinVR,201,2,2,1,2,363.9397,375.5667,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T038.csv,,,
2_toolusenotinVR,201,2,3,1,3,378.5197,387.3943,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T039.csv,,,
2_toolusenotinVR,201,2,4,1,4,390.3486,396.4012,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T040.csv,,,
2_toolusenotinVR,201,2,5,1,5,399.3556,405.785,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T041.csv,,,
2_toolusenotinVR,201,2,6,1,6,408.7393,414.7362,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T042.csv,,,
2_toolusenotinVR,201,2,7,1,7,428.6829,439.1143,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T043.csv,,,
2_toolusenotinVR,201,2,8,1,8,442.0684,448.3101,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T044.csv,,,
2_toolusenotinVR,201,2,9,1,9,451.2643,458.4712,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T045.csv,,,
2_toolusenotinVR,201,2,10,1,10,466.1016,472.6882,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T046.csv,,,
2_toolusenotinVR,201,2,11,1,11,485.948,493.256,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T047.csv,,,
2_toolusenotinVR,201,2,12,1,12,497.1982,504.2278,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T048.csv,,,
2_toolusenotinVR,201,2,13,1,13,507.1936,514.024,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T049.csv,,,
2_toolusenotinVR,201,2,14,1,14,516.9774,523.996,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T050.csv,,,
2_toolusenotinVR,201,2,15,1,15,526.9505,532.737,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T051.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T051.csv,,,
2_toolusenotinVR,201,2,16,1,16,539.6227,545.9413,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T052.csv,,,
2_toolusenotinVR,201,2,17,1,17,553.1942,558.6807,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T053.csv,,,
2_toolusenotinVR,201,2,18,1,18,561.8235,567.3538,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T054.csv,,,
2_toolusenotinVR,201,2,19,1,19,570.308,576.6832,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T055.csv,,,
2_toolusenotinVR,201,2,20,1,20,579.6365,585.5441,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T056.csv,,,
2_toolusenotinVR,201,2,21,1,21,588.4989,594.3073,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T057.csv,,,
2_toolusenotinVR,201,2,22,1,22,597.2616,602.2814,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T058.csv,,,
2_toolusenotinVR,201,2,23,1,23,605.236,611.0331,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T059.csv,,,
2_toolusenotinVR,201,2,24,1,24,613.9875,619.8398,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T060.csv,,,
2_toolusenotinVR,201,2,25,1,25,622.7939,627.9351,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,2_toolusenotinVR/201/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T061.csv,,,
