experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,202,1,1,1,1,958.0656,963.7844,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,,,
2_toolusenotinVR,202,1,2,1,2,966.7404,971.6483,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,,,
2_toolusenotinVR,202,1,3,1,3,974.602,979.2778,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,,,
2_toolusenotinVR,202,1,4,1,4,982.2321,986.8297,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,,,
2_toolusenotinVR,202,1,5,1,5,989.7836,994.1489,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,,,
2_toolusenotinVR,202,1,6,1,6,997.1025,1001.333,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,,,
2_toolusenotinVR,202,1,7,1,7,1004.288,1008.609,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,,,
2_toolusenotinVR,202,1,8,1,8,1011.562,1015.749,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,,,
2_toolusenotinVR,202,1,9,1,9,1018.704,1022.946,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,,,
2_toolusenotinVR,202,1,10,1,10,1025.901,1030.32,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,2_toolusenotinVR/202/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,,,
