participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
205,2,19,wrist,0.1614,0.8373,-0.9625,0.0000,0,startbuffer
205,2,19,wrist,0.1612,0.8374,-0.9625,0.0000,5.9851,startbuffer
205,2,19,wrist,0.1612,0.8374,-0.9625,0.0000,10.9721,startbuffer
205,2,19,wrist,0.1612,0.8374,-0.9625,0.0000,15.237,startbuffer
205,2,19,wrist,0.1612,0.8374,-0.9625,0.0000,20.2245,startbuffer
205,2,19,wrist,0.1612,0.8374,-0.9625,0.0000,25.2109,startbuffer
205,2,19,wrist,0.1612,0.8374,-0.9625,0.0000,30.1991,startbuffer
205,2,19,wrist,0.1612,0.8374,-0.9625,0.0000,35.1864,startbuffer
205,2,19,wrist,0.1615,0.8371,-0.9625,0.0000,40.1734,startbuffer
205,2,19,wrist,0.1615,0.8371,-0.9625,0.0000,45.1614,startbuffer
205,2,19,wrist,0.1615,0.8371,-0.9625,0.0000,50.1483,startbuffer
205,2,19,wrist,0.1611,0.8372,-0.9626,0.0000,55.1356,begin
205,2,19,wrist,0.1607,0.8371,-0.9628,0.0000,60.1231,begin
205,2,19,wrist,0.1606,0.8370,-0.9629,0.0000,65.1109,begin
205,2,19,wrist,0.1601,0.8360,-0.9627,0.0000,70.0977,begin
205,2,19,wrist,0.1599,0.8360,-0.9628,0.0000,75.086,begin
205,2,19,wrist,0.1597,0.8360,-0.9629,0.0000,80.0726,begin
205,2,19,wrist,0.1597,0.8360,-0.9629,0.0000,85.0598,begin
205,2,19,wrist,0.1594,0.8361,-0.9630,0.0000,90.0483,begin
205,2,19,wrist,0.1591,0.8357,-0.9631,0.0000,95.0348,begin
205,2,19,wrist,0.1591,0.8357,-0.9631,0.0000,100.0227,begin
205,2,19,wrist,0.1591,0.8357,-0.9632,0.0000,105.01,begin
205,2,19,wrist,0.1590,0.8363,-0.9633,0.0000,109.9976,begin
205,2,19,wrist,0.1590,0.8362,-0.9633,0.0000,114.9848,begin
205,2,19,wrist,0.1590,0.8362,-0.9633,0.0000,119.9731,begin
205,2,19,wrist,0.1591,0.8362,-0.9633,0.0000,124.9599,begin
205,2,19,wrist,0.1591,0.8362,-0.9633,0.0000,129.9473,begin
205,2,19,wrist,0.1591,0.8362,-0.9633,0.0000,134.1672,begin
205,2,19,wrist,0.1591,0.8362,-0.9633,0.0000,139.1547,begin
205,2,19,wrist,0.1591,0.8362,-0.9633,0.0000,144.1418,begin
205,2,19,wrist,0.1593,0.8357,-0.9635,0.0000,149.1293,begin
205,2,19,wrist,0.1593,0.8357,-0.9635,0.0000,154.1172,begin
205,2,19,wrist,0.1592,0.8357,-0.9635,0.0000,159.1042,begin
205,2,19,wrist,0.1590,0.8357,-0.9636,0.0000,164.0921,begin
205,2,19,wrist,0.1589,0.8357,-0.9636,0.0000,169.0794,begin
205,2,19,wrist,0.1586,0.8353,-0.9637,0.0000,174.0667,begin
205,2,19,wrist,0.1586,0.8353,-0.9637,0.0000,179.0541,begin
205,2,19,wrist,0.1586,0.8353,-0.9637,0.0000,184.0411,begin
205,2,19,wrist,0.1583,0.8356,-0.9638,0.0000,189.029,begin
205,2,19,wrist,0.1583,0.8356,-0.9638,0.0000,194.0163,begin
205,2,19,wrist,0.1583,0.8356,-0.9638,0.0000,199.0042,begin
205,2,19,wrist,0.1583,0.8356,-0.9638,0.0000,203.9916,begin
205,2,19,wrist,0.1583,0.8356,-0.9638,0.0000,208.9788,begin
205,2,19,wrist,0.1583,0.8356,-0.9638,0.0000,213.4734,begin
205,2,19,wrist,0.1582,0.8356,-0.9639,0.0000,218.4613,begin
205,2,19,wrist,0.1582,0.8356,-0.9639,0.0000,223.4487,begin
205,2,19,wrist,0.1582,0.8355,-0.9638,0.0000,228.4364,begin
205,2,19,wrist,0.1582,0.8355,-0.9638,0.0000,233.4236,begin
205,2,19,wrist,0.1582,0.8355,-0.9638,0.0000,238.4116,begin
205,2,19,wrist,0.1581,0.8358,-0.9639,0.0000,243.3977,begin
205,2,19,wrist,0.1581,0.8358,-0.9639,0.0000,248.3858,begin
205,2,19,wrist,0.1581,0.8358,-0.9639,0.0000,253.373,begin
