experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,landmarkstimulus_estimates_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0
2_toolusenotinVR,213,2,1,1,1,264.8804,274.8314,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T037.csv,,,
2_toolusenotinVR,213,2,2,1,2,277.7857,285.2813,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T038.csv,,,
2_toolusenotinVR,213,2,3,1,3,288.236,294.2664,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T039.csv,,,
2_toolusenotinVR,213,2,4,1,4,297.2208,302.6407,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T040.csv,,,
2_toolusenotinVR,213,2,5,1,5,305.5938,310.5243,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T041.csv,,,
2_toolusenotinVR,213,2,6,1,6,313.48,318.2775,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T042.csv,,,
2_toolusenotinVR,213,2,7,1,7,321.2318,326.1847,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T043.csv,,,
2_toolusenotinVR,213,2,8,1,8,329.1385,334.1027,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T044.csv,,,
2_toolusenotinVR,213,2,9,1,9,337.0578,341.7444,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T045.csv,,,
2_toolusenotinVR,213,2,10,1,10,344.698,349.5519,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T046.csv,,,
2_toolusenotinVR,213,2,11,1,11,352.5055,360.1131,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T047.csv,,,
2_toolusenotinVR,213,2,12,1,12,363.0674,368.7866,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T048.csv,,,
2_toolusenotinVR,213,2,13,1,13,371.7407,376.2497,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T049.csv,,,
2_toolusenotinVR,213,2,14,1,14,379.2044,384.4903,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,2_toolusenotinVR/213/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T050.csv,,,
