experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,214,1,1,1,1,172.0643,178.1509,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,,,
2_toolusenotinVR,214,1,2,1,2,181.1039,187.9459,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,,,
2_toolusenotinVR,214,1,3,1,3,190.9002,194.7205,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,,,
2_toolusenotinVR,214,1,4,1,4,197.6745,201.9616,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,,,
2_toolusenotinVR,214,1,5,1,5,204.9158,210.5018,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,,,
2_toolusenotinVR,214,1,6,1,6,213.4564,218.62,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,,,
2_toolusenotinVR,214,1,7,1,7,221.5749,225.4732,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,,,
2_toolusenotinVR,214,1,8,1,8,228.4281,233.1034,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,,,
2_toolusenotinVR,214,1,9,1,9,236.0566,240.222,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,,,
2_toolusenotinVR,214,1,10,1,10,243.1761,247.7292,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,2_toolusenotinVR/214/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,,,
