experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,landmarkstimulus_estimates_location_0
2_toolusenotinVR,218,2,1,1,1,219.9177,223.7486,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,,,
2_toolusenotinVR,218,2,2,1,2,226.7033,237.9428,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,,,
2_toolusenotinVR,218,2,3,1,3,240.8966,244.306,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T021.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T021.csv,,,
2_toolusenotinVR,218,2,4,1,4,247.2601,251.014,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T022.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T022.csv,,,
2_toolusenotinVR,218,2,5,1,5,253.9683,257.8444,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T023.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T023.csv,,,
2_toolusenotinVR,218,2,6,1,6,260.7984,264.6189,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T024.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T024.csv,,,
2_toolusenotinVR,218,2,7,1,7,267.5724,271.0267,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T025.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T025.csv,,,
2_toolusenotinVR,218,2,8,1,8,273.981,277.8132,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T026.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T026.csv,,,
2_toolusenotinVR,218,2,9,1,9,280.7661,284.3986,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T027.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T027.csv,,,
2_toolusenotinVR,218,2,10,1,10,287.3521,290.8294,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T028.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T028.csv,,,
2_toolusenotinVR,218,2,11,1,11,293.7828,297.2796,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T029.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T029.csv,,,
2_toolusenotinVR,218,2,12,1,12,300.2349,303.8669,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T030.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T030.csv,,,
2_toolusenotinVR,218,2,13,1,13,306.8199,310.2974,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T031.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T031.csv,,,
2_toolusenotinVR,218,2,14,1,14,313.2514,316.5721,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T032.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T032.csv,,,
2_toolusenotinVR,218,2,15,1,15,319.5256,322.9462,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T033.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T033.csv,,,
2_toolusenotinVR,218,2,16,1,16,325.9012,329.4215,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T034.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T034.csv,,,
2_toolusenotinVR,218,2,17,1,17,332.3759,335.7743,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T035.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T035.csv,,,
2_toolusenotinVR,218,2,18,1,18,338.7279,342.0146,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T036.csv,2_toolusenotinVR/218/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T036.csv,,,
2_toolusenotinVR,218,2,19,2,1,590.4543,595.7735,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T037.csv,
2_toolusenotinVR,218,2,20,2,2,598.7276,603.4591,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T038.csv,
2_toolusenotinVR,218,2,21,2,3,606.413,612.8768,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T039.csv,
2_toolusenotinVR,218,2,22,2,4,615.8299,620.8068,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T040.csv,
2_toolusenotinVR,218,2,23,2,5,623.76,628.8906,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T041.csv,
2_toolusenotinVR,218,2,24,2,6,631.8454,636.2324,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T042.csv,
2_toolusenotinVR,218,2,25,2,7,639.1824,643.7173,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T043.csv,
2_toolusenotinVR,218,2,26,2,8,646.6719,650.8803,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T044.csv,
2_toolusenotinVR,218,2,27,2,9,653.8343,658.3327,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T045.csv,
2_toolusenotinVR,218,2,28,2,10,661.2872,665.596,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T046.csv,
2_toolusenotinVR,218,2,29,2,11,668.5502,673.058,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T047.csv,
2_toolusenotinVR,218,2,30,2,12,676.0242,680.4002,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T048.csv,
2_toolusenotinVR,218,2,31,2,13,683.3541,687.8297,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T049.csv,
2_toolusenotinVR,218,2,32,2,14,690.7846,695.3821,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T050.csv,
2_toolusenotinVR,218,2,33,2,15,698.336,702.5236,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T051.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T051.csv,
2_toolusenotinVR,218,2,34,2,16,705.4775,710.0309,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T052.csv,
2_toolusenotinVR,218,2,35,2,17,712.9854,717.1611,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T053.csv,
2_toolusenotinVR,218,2,36,2,18,720.1143,724.2466,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T054.csv,
2_toolusenotinVR,218,2,37,2,19,727.2007,731.4759,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T055.csv,
2_toolusenotinVR,218,2,38,2,20,734.4295,738.3624,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T056.csv,
2_toolusenotinVR,218,2,39,2,21,741.3162,745.1483,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T057.csv,
2_toolusenotinVR,218,2,40,2,22,748.102,752.2666,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T058.csv,
2_toolusenotinVR,218,2,41,2,23,755.2211,759.6404,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T059.csv,
2_toolusenotinVR,218,2,42,2,24,762.5949,766.2825,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T060.csv,
2_toolusenotinVR,218,2,43,2,25,769.2365,773.2679,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T061.csv,
2_toolusenotinVR,218,2,44,2,26,776.221,781.297,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T062.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T062.csv,
2_toolusenotinVR,218,2,45,2,27,784.2515,788.2825,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T063.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T063.csv,
2_toolusenotinVR,218,2,46,2,28,791.2366,795.2462,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T064.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T064.csv,
2_toolusenotinVR,218,2,47,2,29,798.2001,802.3205,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T065.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T065.csv,
2_toolusenotinVR,218,2,48,2,30,805.2739,809.1508,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T066.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T066.csv,
2_toolusenotinVR,218,2,49,2,31,812.1052,817.225,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T067.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T067.csv,
2_toolusenotinVR,218,2,50,2,32,820.1786,823.9662,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T068.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T068.csv,
2_toolusenotinVR,218,2,51,2,33,826.9204,830.7964,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T069.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T069.csv,
2_toolusenotinVR,218,2,52,2,34,833.7503,838.1371,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T070.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T070.csv,
2_toolusenotinVR,218,2,53,2,35,841.0917,844.7901,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T071.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T071.csv,
2_toolusenotinVR,218,2,54,2,36,847.7438,852.1187,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T072.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T072.csv,
2_toolusenotinVR,218,2,55,2,37,855.0736,859.2941,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T073.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T073.csv,
2_toolusenotinVR,218,2,56,2,38,862.2474,866.3904,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T074.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T074.csv,
2_toolusenotinVR,218,2,57,2,39,869.3447,873.5095,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T075.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T075.csv,
2_toolusenotinVR,218,2,58,2,40,876.4634,880.7502,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T076.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T076.csv,
2_toolusenotinVR,218,2,59,2,41,883.7044,887.5253,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T077.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T077.csv,
2_toolusenotinVR,218,2,60,2,42,890.4792,895.9059,,,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T078.csv,2_toolusenotinVR/218/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T078.csv,
