experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-002,1,1,1,1,1189.427,1196.679,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse,d3-002,1,2,1,2,1207.93,1210.828,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse,d3-002,1,3,1,3,1214.87,1216.182,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse,d3-002,1,4,1,4,1220.223,1225.132,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse,d3-002,1,5,1,5,1229.175,1230.108,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse,d3-002,1,6,1,6,1234.161,1235.439,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse,d3-002,1,7,1,7,1239.481,1240.758,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse,d3-002,1,8,1,8,1244.812,1246.748,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse,d3-002,1,9,1,9,1250.788,1256.418,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse,d3-002,1,10,1,10,1260.471,1262.071,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
3_avatartooluse,d3-002,1,11,1,11,1266.125,1267.424,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T011.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T011.csv,,,,,,,,
3_avatartooluse,d3-002,1,12,1,12,1271.467,1272.122,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T012.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T012.csv,,,,,,,,
3_avatartooluse,d3-002,1,13,1,13,1276.164,1278.885,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T013.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T013.csv,,,,,,,,
3_avatartooluse,d3-002,1,14,1,14,1282.928,1284.36,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T014.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T014.csv,,,,,,,,
3_avatartooluse,d3-002,1,15,1,15,1288.414,1292.245,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T015.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T015.csv,,,,,,,,
3_avatartooluse,d3-002,1,16,1,16,1296.3,1297.332,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T016.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T016.csv,,,,,,,,
3_avatartooluse,d3-002,1,17,1,17,1301.374,1302.651,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T017.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T017.csv,,,,,,,,
3_avatartooluse,d3-002,1,18,1,18,1306.684,1312.636,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_estimates_T018.csv,3_avatartooluse/d3-002/S001/trackers/landmark/landmark_gaze_data_T018.csv,,,,,,,,
3_avatartooluse,d3-002,1,19,2,1,1537.508,1549.483,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T019.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T019.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T019.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T019.csv,,,,
3_avatartooluse,d3-002,1,20,2,2,1552.434,1563.539,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T020.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T020.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T020.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T020.csv,,,,
3_avatartooluse,d3-002,1,21,2,3,1566.493,1590.128,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T021.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T021.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T021.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T021.csv,,,,
3_avatartooluse,d3-002,1,22,2,4,1593.081,1597.579,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T022.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T022.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T022.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T022.csv,,,,
3_avatartooluse,d3-002,1,23,2,5,1600.533,1605.009,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T023.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T023.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T023.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T023.csv,,,,
3_avatartooluse,d3-002,1,24,2,6,1607.964,1611.884,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T024.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T024.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T024.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T024.csv,,,,
3_avatartooluse,d3-002,1,25,2,7,1614.838,1618.714,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T025.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T025.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T025.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T025.csv,,,,
3_avatartooluse,d3-002,1,26,2,8,1621.668,1625.577,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T026.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T026.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T026.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T026.csv,,,,
