experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-005,1,1,1,1,1073.1,1087.338,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T001.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T001.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T001.csv,,,,,,
3_avatartooluse,d3-005,1,2,1,2,1090.292,1095.112,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T002.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,,,,,,
3_avatartooluse,d3-005,1,3,1,3,1098.066,1103.564,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T003.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,,,,,,
3_avatartooluse,d3-005,1,4,1,4,1106.518,1111.405,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T004.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,,,,,,
3_avatartooluse,d3-005,1,5,1,5,1120.656,1125.22,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T005.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,,,,,,
3_avatartooluse,d3-005,1,6,1,6,1128.175,1133.028,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T006.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,,,,,,
3_avatartooluse,d3-005,1,7,1,7,1135.982,1140.936,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T007.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,,,,,,
3_avatartooluse,d3-005,1,8,1,8,1143.89,1148.954,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T008.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,,,,,,
3_avatartooluse,d3-005,1,9,1,9,1151.908,1157.116,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T009.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,,,,,,
3_avatartooluse,d3-005,1,10,1,10,1160.072,1165.124,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T010.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,,,,,,
3_avatartooluse,d3-005,1,11,1,11,1168.076,1172.942,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T011.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T011.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T011.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T011.csv,,,,,,
3_avatartooluse,d3-005,1,12,1,12,1175.897,1180.65,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T012.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T012.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T012.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T012.csv,,,,,,
