experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-006,2,1,1,1,1258.522,1260.659,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse,d3-006,2,2,1,2,1264.708,1267.118,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse,d3-006,2,3,1,3,1271.15,1276.016,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse,d3-006,2,4,1,4,1281.667,1287.38,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse,d3-006,2,5,1,5,1297.77,1302.701,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse,d3-006,2,6,1,6,1312.297,1313.596,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse,d3-006,2,7,1,7,1317.616,1320.631,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse,d3-006,2,8,1,8,1324.669,1326.858,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse,d3-006,2,9,1,9,1330.888,1338.665,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse,d3-006,2,10,1,10,1342.704,1346.747,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse/d3-006/S002/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
