experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-009,1,1,1,1,1208.9,1226.662,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T001.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T001.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T001.csv,,,,,,
3_avatartooluse,d3-009,1,2,1,2,1229.784,1244.363,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T002.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,,,,,,
3_avatartooluse,d3-009,1,3,1,3,1247.322,1254.54,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T003.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,,,,,,
3_avatartooluse,d3-009,1,4,1,4,1257.493,1262.855,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T004.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,,,,,,
3_avatartooluse,d3-009,1,5,1,5,1271.93,1277.806,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T005.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,,,,,,
3_avatartooluse,d3-009,1,6,1,6,1280.76,1285.539,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T006.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,,,,,,
3_avatartooluse,d3-009,1,7,1,7,1290.678,1295.924,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T007.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,,,,,,
3_avatartooluse,d3-009,1,8,1,8,1298.874,1304.218,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T008.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,,,,,,
3_avatartooluse,d3-009,1,9,1,9,1307.171,1312.413,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T009.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,,,,,,
3_avatartooluse,d3-009,1,10,1,10,1315.368,1320.136,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_gaze_data_T010.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-009/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,,,,,,
