experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,manual_reach_gaze_data_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-011,1,1,1,1,1596.859,1605.861,0,0.0001,0,1.107177,0,0.210965,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T001.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T001.csv,,,,,,,
3_avatartooluse,d3-011,1,2,1,2,1608.82,1613.851,0,0.0001,0,1.10783,0,0.217505,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T002.csv,,,,,,
3_avatartooluse,d3-011,1,3,1,3,1616.806,1644.014,0,0.0001,0,1.10783,0,0.217505,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T003.csv,,,,,,
3_avatartooluse,d3-011,1,4,1,4,1646.969,1654.771,0,0.0001,0,1.110998,0,0.217614,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T004.csv,,,,,,
3_avatartooluse,d3-011,1,5,1,5,1657.731,1667.137,0,0.0001,0,1.113107,0,0.218291,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T005.csv,,,,,,
3_avatartooluse,d3-011,1,6,1,6,1670.096,1680.431,0,0.0001,0,1.116323,0,0.217206,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T006.csv,,,,,,
3_avatartooluse,d3-011,1,7,1,7,1683.382,1690.877,0,0.0001,0,1.121954,0,0.22119,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T007.csv,,,,,,
3_avatartooluse,d3-011,1,8,1,8,1693.831,1703.226,0,0.0001,0,1.126361,0,0.228205,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T008.csv,,,,,,
3_avatartooluse,d3-011,1,9,1,9,1706.186,1710.773,0,0.0001,0,1.134573,0,0.232978,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T009.csv,,,,,,
3_avatartooluse,d3-011,1,10,1,10,1713.727,1719.208,0,0.0001,0,1.134573,0,0.232978,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T010.csv,,,,,,
3_avatartooluse,d3-011,1,11,1,11,1722.167,1726.765,0,0.0001,0,1.134573,0,0.232978,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T011.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T011.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T011.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T011.csv,,,,,,
3_avatartooluse,d3-011,1,12,1,12,1729.719,1734.238,0,0.0001,0,1.134573,0,0.232978,1,1,1,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_vrpn_movement_T012.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T012.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T012.csv,3_avatartooluse/d3-011/S001/trackers/manual_reach/manual_reach_gaze_data_T012.csv,,,,,,
