experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-013,1,1,1,1,1436.751,1583.452,0,0,0,1.130601,0,359.5905,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T001.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,,,,,,,,
3_avatartooluse,d3-013,1,2,1,2,1586.41,1591.692,0,0,0,1.078547,0,359.6287,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T002.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,,,,,,
3_avatartooluse,d3-013,1,3,1,3,1594.653,1599.781,0,0,0,1.078547,0,359.6287,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T003.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,,,,,,
3_avatartooluse,d3-013,1,4,1,4,1602.736,1607.472,0,0,0,1.078547,0,359.6287,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T004.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,,,,,,
3_avatartooluse,d3-013,1,5,1,5,1610.426,1615.52,0,0,0,1.076222,0,359.6261,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T005.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,,,,,,
3_avatartooluse,d3-013,1,6,1,6,1618.478,1623.064,0,0,0,1.076915,0,359.6261,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T006.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,,,,,,
3_avatartooluse,d3-013,1,7,1,7,1626.019,1630.616,0,0,0,1.076552,0,359.624,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T007.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,,,,,,
3_avatartooluse,d3-013,1,8,1,8,1633.571,1638.12,0,0,0,1.076552,0,359.624,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T008.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,,,,,,
3_avatartooluse,d3-013,1,9,1,9,1641.078,1645.998,0,0,0,1.073668,0,359.6246,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T009.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,,,,,,
3_avatartooluse,d3-013,1,10,1,10,1648.953,1652.927,0,0,0,1.073668,0,359.6246,1,1,1,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_gaze_data_T010.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-013/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,,,,,,
