participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-017,2,26,Wrist,0.9970,startbuffer,0.2984,0.8029,-0.6727
d3-017,2,26,Wrist,6.9819,startbuffer,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,12.9661,startbuffer,0.2999,0.8006,-0.6742
d3-017,2,26,Wrist,18.9506,startbuffer,0.2999,0.8006,-0.6742
d3-017,2,26,Wrist,24.9346,startbuffer,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,30.9195,startbuffer,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,36.9036,startbuffer,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,42.8882,startbuffer,0.2999,0.8006,-0.6742
d3-017,2,26,Wrist,48.8722,startbuffer,0.2997,0.8007,-0.6741
d3-017,2,26,Wrist,54.8572,startbuffer,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,60.8407,startbuffer,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,66.8257,begin,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,72.8103,begin,0.2996,0.8007,-0.6740
d3-017,2,26,Wrist,78.7949,begin,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,84.7784,begin,0.2996,0.8008,-0.6741
d3-017,2,26,Wrist,90.7638,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,96.7475,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,102.7321,begin,0.2996,0.8007,-0.6741
d3-017,2,26,Wrist,108.7164,begin,0.2996,0.8007,-0.6741
d3-017,2,26,Wrist,114.7007,begin,0.2997,0.8006,-0.6741
d3-017,2,26,Wrist,120.6852,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,126.6692,begin,0.2997,0.8007,-0.6741
d3-017,2,26,Wrist,132.6544,begin,0.2996,0.8007,-0.6741
d3-017,2,26,Wrist,138.6379,begin,0.2996,0.8007,-0.6741
d3-017,2,26,Wrist,144.6232,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,150.6072,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,156.5920,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,162.5758,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,168.5606,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,174.5449,begin,0.2998,0.8006,-0.6742
d3-017,2,26,Wrist,180.5292,begin,0.2995,0.8008,-0.6741
d3-017,2,26,Wrist,186.5133,begin,0.2995,0.8007,-0.6741
d3-017,2,26,Wrist,192.4980,begin,0.2995,0.8007,-0.6741
d3-017,2,26,Wrist,197.7698,begin,0.2998,0.8005,-0.6741
d3-017,2,26,Wrist,203.7418,begin,0.2998,0.8005,-0.6741
d3-017,2,26,Wrist,209.7263,begin,0.2996,0.8006,-0.6740
d3-017,2,26,Wrist,215.7100,begin,0.2996,0.8006,-0.6740
d3-017,2,26,Wrist,221.6955,begin,0.2998,0.8005,-0.6741
d3-017,2,26,Wrist,227.6794,begin,0.2999,0.8004,-0.6741
d3-017,2,26,Wrist,233.6638,begin,0.2996,0.8006,-0.6740
d3-017,2,26,Wrist,239.6481,begin,0.2996,0.8006,-0.6740
d3-017,2,26,Wrist,245.6333,begin,0.2999,0.8005,-0.6741
