experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-018,2,1,1,1,331.3965,346.0196,0,0,0,0.940926,0,359.7723,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T001.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T001.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T001.csv,,,,,,
3_avatartooluse,d3-018,2,2,1,2,352.475,366.6291,0,0,0,0.942828,0,359.7706,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T002.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,,,,,,
3_avatartooluse,d3-018,2,3,1,3,369.5835,377.7298,0,0,0,0.94374,0,359.77,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T003.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,,,,,,
3_avatartooluse,d3-018,2,4,1,4,380.6891,388.9073,0,0,0,0.94374,0,359.77,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T004.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,,,,,,
3_avatartooluse,d3-018,2,5,1,5,391.8619,398.5029,0,0,0,0.943688,0,359.7748,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T005.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,,,,,,
3_avatartooluse,d3-018,2,6,1,6,401.4576,408.3204,0,0,0,0.941776,0,359.7749,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T006.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,,,,,,
3_avatartooluse,d3-018,2,7,1,7,411.2748,417.1906,0,0,0,0.947546,0,359.7699,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T007.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,,,,,,
3_avatartooluse,d3-018,2,8,1,8,420.1485,425.779,0,0,0,0.947546,0,359.7699,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T008.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,,,,,,
3_avatartooluse,d3-018,2,9,1,9,428.7332,434.7636,0,0,0,0.948597,0,359.7692,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T009.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,,,,,,
3_avatartooluse,d3-018,2,10,1,10,437.718,444.2036,0,0,0,0.950164,0,359.7691,1,1,1,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_gaze_data_T010.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-018/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,,,,,,
