experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-023,1,1,1,1,1474.412,1475.7,0,0,0,0.284456,0,0.23638,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse,d3-023,1,2,1,2,1479.753,1482.807,0,0,0,0.284456,0,0.23638,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse,d3-023,1,3,1,3,1486.861,1492.981,0,0,0,0.284456,0,0.23638,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse,d3-023,1,4,1,4,1497.033,1499.377,0,0,0,0.290089,0,0.236035,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse,d3-023,1,5,1,5,1503.431,1504.319,0,0,0,0.290508,0,0.23635,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse,d3-023,1,6,1,6,1508.373,1508.692,0,0,0,0.290508,0,0.23635,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse,d3-023,1,7,1,7,1512.738,1518.935,0,0,0,0.293024,0,0.236868,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse,d3-023,1,8,1,8,1522.978,1526.56,0,0,0,0.293024,0,0.236868,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse,d3-023,1,9,1,9,1530.585,1530.907,0,0,0,0.289666,0,0.237143,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse,d3-023,1,10,1,10,1534.961,1535.772,0,0,0,0.289666,0,0.237143,1,1,1,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse/d3-023/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
