ppid,fatigue_post_tool,fatigue_location,age,gender,strategy_yn,strategy_text,strategy_modify,hypothesis_guess_1,hypothesis_guess_2,challenge,avatar_embodiment_1,avatar_embodiment_2,avatar_embodiment_3,avatar_embodiment_4,avatar_embodiment_5,avatar_embodiment_6,avatar_embodiment_7,avatar_embodiment_8,avatar_embodiment_9,avatar_embodiment_10,avatar_embodiment_11,avatar_embodiment_12,avatar_embodiment_13,avatar_embodiment_14,avatar_embodiment_15,avatar_embodiment_16,tool_embodiment_1,tool_embodiment_2,tool_embodiment_3,tool_embodiment_4,tool_embodiment_5,tool_embodiment_6,tool_embodiment_7,tool_embodiment_8,tool_embodiment_9,tool_embodiment_10,tool_embodiment_11,hypothesis_guess_1_post,hypothesis_guess_2_post,data_qc,performance_hypothesis,tool_embodiment_hypothesis,avatar_embodiment_hypothesis,tracking_accuracy_hypothesis,fatigue_yn,appearance_subscale,response_subscale,ownership_subscale,multisensory_subscale,avatar_embodiment_total,tool_embodiment
d3-001,4.5,forearm,52,Male,2,"With the grasping tool, I found I was not grabbing the block squarely for the first few times.  By turning my wrist a bit more to come at the block straight on, I felt i was more successful in grabbing the object.",I think I tended to slow down to make sure I was correctly grabbing the block,"I would imagine at least two different expectations. One, that the perception of one’s arm in VR mimics the actual location of it; and two, that the performance would be improved with repetition.","My guess is that, even with incredibly accurate tracking of body location, there may still be differences in VR eye-body coordination vs physical world.  I would think that the accuracy and pace whereby one completes tasks will be a measure of this difference.","Without question, the grabber tool.  Having to manage depth perception with a tool rather than my hand itself was much more challenging.   I also felt that my perception of where my wrist, elbow, and forearm were without the visual cue were pretty variable",3,4,3,2,5,3,3,5,3,5,6,6,7,4,3,3,3,2,5,2,3,3,2,2,6,4,2,Now I’m thinking that the study was more focused toward prosthetic use and that the researchers were expecting that within the VR environment the distinction between tool and physical body part would become blurred.,"Within very high fidelity VR environments, tools in the physical environment could potentially feel as if they are part of the subject’s body",2,TRUE,TRUE,TRUE,TRUE,FALSE,3.25,3.16666666666667,5.5,4.33333333333333,3.25,3.09090909090909
d3-002,9,hand,28,Female,1,,"Not that i noticed, except I adjusted my arm to make it easier to grab the item with the grabber as my arm got more tired.","That my time to complete the trials would get better, and I wouldn’t knock the items down as much. And that maybe I would have a better sense of where my elbow and wrist and forearm were after the grabber trial since they hurt, I could feel them.",Ability to perceive self motion and where parts of our body are when we can’t see them.,The grabber. My arm is literally shaking.,6,2,4,6,6,6,6,6,6,6,6,6,5,6,6,4,2,2,2,2,6,2,2,4,2,2,2,-99,To see whether the virtual tool could act as an extension of the virtual arm and elicit sensation in your real arm.,2,TRUE,TRUE,FALSE,FALSE,TRUE,5,6,5.83333333333333,5.16666666666667,5,2.54545454545455
d3-003,6.5,wrist,47,Male,1,,I don’t think so,Improvement over time,Improve accuracy of vr equipment,Grabber part. Became taxing over time,3,3,5,3,5,4,5,5,5,5,4,5,5,5,5,5,4,3,3,3,3,3,3,3,5,5,3,Sence  of self effected by vr percrption,-99,2,TRUE,FALSE,FALSE,FALSE,TRUE,4.125,4.5,4.83333333333333,5,4.125,3.45454545454545
d3-004,4.5,hand,21,Female,2,"I made visual notes of where parts of my arm were and click the circular pad when they fell into the area. 
For the part of the study when I was tasked with picking up the block with the clamp, I attempted to clamp different parts of the block to pick it up more efficiently. I found that clamping in the high center of the block allowed me to swiftly and more accurately raise and place the block in its respective squares.",I replicated strategies when performing the same tasks again.,I think the researchers may have predicted that the equipment would help virtual reality calibrate/accurately represent the range of motion of the right arm.,"The point of the study might be to develop programming that accurately depicts the range of motion of an appendage, in this case the focus was on the right arm.","I found the clamp part of the experiment most challenging because a quarter way into the challenge, the inside of my palm grew sore from gripping the clamp on and off again.",2,4,2,2,2,2,2,3,3,2,7,6,6,2,5,2,2,2,2,6,2,2,3,2,6,2,4,I think the researchers may have expected to see the participant start to associate physical sense with the actions of the virtual arm.,I now think that the researchers were testing for a mental change in distinction of the participants own bodily senses.,2,FALSE,TRUE,FALSE,TRUE,TRUE,2.375,2.83333333333333,4.16666666666667,3.83333333333333,2.375,3
d3-005,8,wrist,29,Female,1,,-99,The gloves would mimic actual grasping of objects in VR,Whether we can grasp things things accuracy in VR,Tool use block to grasp block. It was very fatiguing for my hand and forearm.,2,2,5,2,5,2,2,7,5,6,7,7,7,4,7,3,2,2,6,6,6,1,1,3,3,5,1,"That participants would feel like their arm and the avatar arm were one and the same, and that the tool would also them feel like the real arm.",To see if participants felt like the tool was an extension of their own body,2,TRUE,FALSE,FALSE,FALSE,TRUE,3.25,4.16666666666667,6,5.5,3.25,3.27272727272727
d3-007,8,hand,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,
d3-008,8,hand,20,Female,1,,-99,Slightly slow and inaccurate responses in the beginning and then more faster accurate movements later on,Accuracy and coordination in vr setting,"The trial with the grippers, because it made my hand tired fast and it had the longest amount of trials.",4,5,5,5,4,4,5,6,5,5,6,6,7,6,6,7,2,2,6,6,6,2,6,5,6,6,2,"Maybe after doing the exercise with the tool, there would be a decline in speed and accuracy of movement.","To see if after doing a challenging exercise, the tool, would affect the ability to use an arm and the accuracy of moving items.",2,TRUE,FALSE,FALSE,FALSE,TRUE,4.875,5.16666666666667,5.66666666666667,6.16666666666667,4.875,4.45454545454545
d3-009,7,hand,37,Female,1,,No,Hand eye coordination in virtual reality and how well we did the tasks,Hand eye coordination in virtual reality,Using the grasp tool accurately,4,5,5,5,4,1,3,6,6,4,6,6,5,4,6,4,3,3,4,3,4,4,2,4,6,4,2,If it felt like the virtual reality felt like the real world and you would feel the avatar was your real body,If virtual reality would feel like the real world,2,TRUE,FALSE,FALSE,FALSE,FALSE,4.25,4.5,4.83333333333333,5,4.25,3.54545454545455
d3-010,8,forearm,21,Female,1,,-99,Over time I would improve in accuracy,To see how we move in space and how accurate our movements can be/are,The grabber tool was difficult because of the amount of grip strength it required and how many times I had to do it,-99,3,3,3,3,1,2,6,3,5,5,5,4,7,5,5,1,1,1,1,2,1,1,1,3,1,1,-99,"Maybe to see how in VR, we may feel connected to whatever we are seeing. In this case it might be we feel connected to a tool.",2,TRUE,FALSE,FALSE,FALSE,TRUE,3,3.33333333333333,4.83333333333333,4.83333333333333,3,1.27272727272727
d3-006,5,hand,21,Male,1,,I made sure to grab the cube with the grabber towards the far ends of the sides so that the cube rotates into the arm instead of falling out,I would be able to perceive my invisible wrist forearm and shoulder better over time in VR or get quicker at moving objects,To see if I can use a virtual hand effectively like my real life hand,Using the grabber was difficult at first since it would fall out of grip sometimes,5,5,4,5,3,5,3,6,3,3,3,5,4,5,5,3,4,3,3,5,4,3,3,3,4,4,3,How naturally I could use the tool in Vr,To see if using tools or other objects in addition to hands and arms could be felt like a substitute for our own arms in vr,2,TRUE,TRUE,FALSE,FALSE,FALSE,4.125,4.5,3.83333333333333,4.33333333333333,4.125,3.54545454545455
