StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,gender,strategy_yn,strategy_text,strategy_modify,hypothesis_guess_1,hypothesis_guess_2,challenge,avatar_embodiment_1,avatar_embodiment_2,avatar_embodiment_3,avatar_embodiment_4,avatar_embodiment_5,avatar_embodiment_6,avatar_embodiment_7,avatar_embodiment_8,avatar_embodiment_9,avatar_embodiment_10,avatar_embodiment_11,avatar_embodiment_12,avatar_embodiment_13,avatar_embodiment_14,avatar_embodiment_15,avatar_embodiment_16,tool_embodiment_1,tool_embodiment_2,tool_embodiment_3,tool_embodiment_4,tool_embodiment_5,tool_embodiment_6,tool_embodiment_7,tool_embodiment_8,tool_embodiment_9,tool_embodiment_10,tool_embodiment_11,Q18,Q19,data_qc
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age in years?,What is your gender?,"Did you use any strategies during the tasks? (for example, attempting to use an explicit strategy to respond, rather than your perception)",Please describe any strategies you used,Did you modify these strategies (or use different strategies) when performing the same tasks again (if applicable)?,"What do you think the researchers were expecting to see from your performance in the tasks (i.e., what do you think the researchers predicted)?","What do you think we were testing for (i.e., what was the ""point"" of the study)?","What part of the experiment did you find to be the most challenging, and why?","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt out of my body""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if my real arm was drifting toward the virtual arm, or as if the virtual arm was drifting toward my real arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if the movements of the virtual arm were influencing my own movements""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It felt as if my real arm was turning into an ‘avatar’ arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - At some point it felt as if my real arm was starting to take on the posture or shape of the virtual arm that I saw""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt like I was wearing different clothes from when I came to the laboratory""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if my body had changed""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt that my (real) arm could be affected by objects in the virtual environment""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if the virtual arm was my real arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - At some point it felt that the virtual arm resembled my own (real) arm in terms of shape, skin tone or other visual features.""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt as if my arm was located where I saw the virtual arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt like I could control the virtual arm as if it was my own arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It seemed as if I felt the objects in the virtual environment in the locations where I saw the virtual arm touch them""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It seemed as if the touch I felt was caused by the objects in the virtual environment touching the virtual arm""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - It seemed as if my arm was touching the objects in the virtual environment""","Please indicate the frequency with which you experienced what is described in the following statements:

“During the experiment there were moments in which… - I felt a touch sensation in my real arm when I saw the virtual arm touch the objects in the virtual environment""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if my (real) arm was drifting toward the virtual tool, or as if the virtual tool was drifting toward my (real) arm.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - At some point it felt as if my (real) arm was starting to take on the posture or shape of the virtual tool that I saw""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - After tool-use, it felt as if my arm had changed.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt a touch sensation in my hand when the tool touched the cube.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt that my own arm could be affected by objects touching the tool.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if the virtual tool was my arm.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if my arm was located where I saw the virtual tool.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - I felt as if I could control the virtual tool as if it were my arm.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - It seemed as if I felt the cube in the location where I saw the tips of the virtual tool touch it.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - It seemed as if the touch I felt was caused by the cube touching the virtual tool.""","Please continue as above, considering only the portion of the experiment where you used a tool:
“During the tool-use task, there were moments in which… - During tool-use, it felt as if my hand was touching the cube.""","Having completed the questionnaire on the previous page, what do you think the researchers were expecting to see from your performance in the tasks (i.e., what do you think the researchers predicted)? If this did not change, you can leave this question unanswered.","Having completed the questionnaire on the previous page, what do you think the researchers were testing for (i.e., what was the ""point"" of the study)? If this did not change, you can leave this question unanswered.","Quality data is a very important part of our attempt to answer our research questions. Did you try your best to focus on the tasks and adhere to instructions throughout the study? (Note: You will not lose credit or receive judgment for saying no, and you can refuse to answer without penalty. The researcher will not examine these responses until a later date, and they will not be associated with your identity.)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID16_11""}","{""ImportId"":""QID16_12""}","{""ImportId"":""QID16_13""}","{""ImportId"":""QID16_14""}","{""ImportId"":""QID16_15""}","{""ImportId"":""QID16_16""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID17_11""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID15""}"
2022-05-10 19:44:29,2022-05-10 19:45:11,1,,100,42,1,2022-05-10 19:45:12,R_6mvdwI9ng3fyTM5,,,,,47.4902,-122.3004,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-06 10:13:31,2023-02-06 12:35:26,0,128.193.154.24,100,8514,1,2023-02-06 12:35:26,R_29n7JvKO9Fg4tzk,,,,,44.5632,-123.28,anonymous,EN,28,Cisgender woman,1,,,I think they thought my perception of my arm would change after using a tool,"How tools impact our perception ",The grab task was quite physically demanding on my wrist and hand,1,4,1,1,2,1,1,1,4,1,6,6,6,1,6,7,1,1,2,1,1,1,1,1,6,1,1,,,2
2023-02-10 09:52:41,2023-02-14 13:33:06,0,128.193.154.24,100,358824,1,2023-02-14 13:33:06,R_2XmNJmihB3a17H8,,,,,44.5632,-123.28,anonymous,EN,52,Male,2,"With the grasping tool, I found I was not grabbing the block squarely for the first few times.  By turning my wrist a bit more to come at the block straight on, I felt i was more successful in grabbing the object.",I think I tended to slow down to make sure I was correctly grabbing the block,"I would imagine at least two different expectations. One, that the perception of one’s arm in VR mimics the actual location of it; and two, that the performance would be improved with repetition.","My guess is that, even with incredibly accurate tracking of body location, there may still be differences in VR eye-body coordination vs physical world.  I would think that the accuracy and pace whereby one completes tasks will be a measure of this difference.","Without question, the grabber tool.  Having to manage depth perception with a tool rather than my hand itself was much more challenging.   I also felt that my perception of where my wrist, elbow, and forearm were without the visual cue were pretty variable",3,4,3,2,5,3,3,5,3,5,6,6,7,4,3,3,3,2,5,2,3,3,2,2,6,4,2,Now I’m thinking that the study was more focused toward prosthetic use and that the researchers were expecting that within the VR environment the distinction between tool and physical body part would become blurred.,"Within very high fidelity VR environments, tools in the physical environment could potentially feel as if they are part of the subject’s body",2
2023-02-14 13:58:20,2023-02-14 15:17:52,0,128.193.154.24,100,4772,1,2023-02-14 15:17:52,R_3lXgyBsLsxrCPz5,,,,,44.5632,-123.28,anonymous,EN,28,Female,1,,"Not that i noticed, except I adjusted my arm to make it easier to grab the item with the grabber as my arm got more tired.","That my time to complete the trials would get better, and I wouldn’t knock the items down as much. And that maybe I would have a better sense of where my elbow and wrist and forearm were after the grabber trial since they hurt, I could feel them.","Ability to perceive self motion and where parts of our body are when we can’t see them. ",The grabber. My arm is literally shaking.,6,2,4,6,6,6,6,6,6,6,6,6,5,6,6,4,2,2,2,2,6,2,2,4,2,2,2,,To see whether the virtual tool could act as an extension of the virtual arm and elicit sensation in your real arm.,2
2023-02-15 10:58:46,2023-02-15 12:23:38,0,128.193.154.24,100,5091,1,2023-02-15 12:23:38,R_1IivXOUn9e5igC7,,,,,44.5928,-123.2746,anonymous,EN,47,M,1,,I don’t think so,Improvement over time,Improve accuracy of vr equipment,Grabber part. Became taxing over time,3,3,5,3,5,4,5,5,5,5,4,5,5,5,5,5,4,3,3,3,3,3,3,3,5,5,3,Sence  of self effected by vr percrption,,2
2023-02-15 15:16:28,2023-02-15 16:59:48,0,128.193.154.24,100,6200,1,2023-02-15 16:59:49,R_3VqusiwPmRH74n7,,,,,44.5928,-123.2746,anonymous,EN,21,Female,2,"I made visual notes of where parts of my arm were and click the circular pad when they fell into the area. 
For the part of the study when I was tasked with picking up the block with the clamp, I attempted to clamp different parts of the block to pick it up more efficiently. I found that clamping in the high center of the block allowed me to swiftly and more accurately raise and place the block in its respective squares.",I replicated strategies when performing the same tasks again.,"I think the researchers may have predicted that the equipment would help virtual reality calibrate/accurately represent the range of motion of the right arm. ","The point of the study might be to develop programming that accurately depicts the range of motion of an appendage, in this case the focus was on the right arm.","I found the clamp part of the experiment most challenging because a quarter way into the challenge, the inside of my palm grew sore from gripping the clamp on and off again.",2,4,2,2,2,2,2,3,3,2,7,6,6,2,5,2,2,2,2,6,2,2,3,2,6,2,4,"I think the researchers may have expected to see the participant start to associate physical sense with the actions of the virtual arm. ","I now think that the researchers were testing for a mental change in distinction of the participants own bodily senses. ",2
2023-02-16 10:19:25,2023-02-16 11:42:50,0,128.193.154.24,100,5005,1,2023-02-16 11:42:51,R_1lt3AIejo1zDGOU,,,,,44.5928,-123.2746,anonymous,EN,29,Female,1,,,The gloves would mimic actual grasping of objects in VR,Whether we can grasp things things accuracy in VR,"Tool use block to grasp block. It was very fatiguing for my hand and forearm. ",2,2,5,2,5,2,2,7,5,6,7,7,7,4,7,3,2,2,6,6,6,1,1,3,3,5,1,"That participants would feel like their arm and the avatar arm were one and the same, and that the tool would also them feel like the real arm.","To see if participants felt like the tool was an extension of their own body ",2
2023-02-16 12:56:40,2023-02-19 16:48:32,0,128.193.154.24,100,273111,1,2023-02-19 16:48:32,R_3EikJ7J6Dd1BWDb,,,,,44.5928,-123.2746,anonymous,EN,20,Woman,1,,,Slightly slow and inaccurate responses in the beginning and then more faster accurate movements later on,Accuracy and coordination in vr setting,"The trial with the grippers, because it made my hand tired fast and it had the longest amount of trials. ",4,5,5,5,4,4,5,6,5,5,6,6,7,6,6,7,2,2,6,6,6,2,6,5,6,6,2,"Maybe after doing the exercise with the tool, there would be a decline in speed and accuracy of movement. ","To see if after doing a challenging exercise, the tool, would affect the ability to use an arm and the accuracy of moving items. ",2
