ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d1-001,1_tooluseinVR,pre,1,1,pre,Wrist,Wrist,0.0282,0.0282,0.2569,Wrist,FALSE
d1-001,1_tooluseinVR,pre,1,2,pre,Forearm,Forearm,0.0314,0.0314,0.2567,Forearm,FALSE
d1-001,1_tooluseinVR,pre,1,3,pre,Wrist,Wrist,0.0398,0.0398,0.256,Wrist,FALSE
d1-001,1_tooluseinVR,pre,1,4,pre,Forearm,Forearm,-0.0026,-0.0026,0.2556,Forearm,FALSE
d1-001,1_tooluseinVR,pre,1,5,pre,Elbow,Elbow,-0.146,-0.146,0.2547,Elbow,FALSE
d1-001,1_tooluseinVR,pre,1,6,pre,Forearm,Forearm,-0.0866,-0.0866,0.2545,Elbow,FALSE
d1-001,1_tooluseinVR,pre,1,7,pre,Elbow,Elbow,-0.1479,-0.1479,0.2538,Elbow,FALSE
d1-001,1_tooluseinVR,pre,1,8,pre,Wrist,Wrist,-0.0733,-0.0733,0.2536,Forearm,FALSE
d1-001,1_tooluseinVR,pre,1,9,pre,Forearm,Elbow,-0.1297,-0.00469999999999993,0.2537,Elbow,TRUE
d1-001,1_tooluseinVR,pre,1,10,pre,Wrist,Wrist,-0.0393,-0.0393,0.2531,Wrist,FALSE
d1-001,1_tooluseinVR,pre,1,11,pre,Forearm,Elbow,-0.1563,-0.0317000000000001,0.253,Elbow,TRUE
d1-001,1_tooluseinVR,pre,1,12,pre,Elbow,Elbow,-0.0825,-0.0825,0.2524,Elbow,FALSE
d1-001,1_tooluseinVR,pre,1,13,pre,Forearm,Elbow,-0.1438,-0.0203,0.251,Elbow,TRUE
d1-001,1_tooluseinVR,pre,1,14,pre,Elbow,Elbow,-0.1493,-0.1493,0.251,Elbow,FALSE
d1-001,1_tooluseinVR,pre,1,15,pre,Wrist,Wrist,-0.0902,-0.0902,0.2509,Forearm,FALSE
d1-001,1_tooluseinVR,pre,1,16,pre,Elbow,Elbow,-0.1132,-0.1132,0.2501,Elbow,FALSE
d1-001,1_tooluseinVR,pre,1,17,pre,Wrist,Wrist,-0.0845,-0.0845,0.2497,Forearm,FALSE
d1-001,1_tooluseinVR,pre,1,18,pre,Elbow,Elbow,-0.1438,-0.1438,0.2497,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,1,post,Wrist,Wrist,-0.0222,-0.0222,0.2548,Wrist,FALSE
d1-001,1_tooluseinVR,second,5,2,post,Elbow,Elbow,-0.0709,-0.0709,0.2559,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,3,post,Forearm,Forearm,-0.0918,-0.0918,0.2565,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,4,post,Wrist,Wrist,-0.0231,-0.0231,0.2566,Wrist,FALSE
d1-001,1_tooluseinVR,second,5,5,post,Elbow,Elbow,-0.0627,-0.0627,0.2558,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,6,post,Forearm,Forearm,-0.0775,-0.0775,0.2569,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,7,post,Wrist,Wrist,-0.0483,-0.0483,0.2578,Wrist,FALSE
d1-001,1_tooluseinVR,second,5,8,post,Elbow,Elbow,-0.0707,-0.0707,0.2583,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,9,post,Wrist,Wrist,-0.0591,-0.0591,0.2583,Wrist,FALSE
d1-001,1_tooluseinVR,second,5,10,post,Forearm,Forearm,-0.054,-0.054,0.2574,Forearm,FALSE
d1-001,1_tooluseinVR,second,5,11,post,Elbow,Elbow,-0.0969,-0.0969,0.2548,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,12,post,Forearm,Elbow,-0.1433,-0.0176000000000001,0.2536,Elbow,TRUE
d1-001,1_tooluseinVR,second,5,13,post,Elbow,Elbow,-0.0985,-0.0985,0.2525,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,14,post,Forearm,Forearm,-0.0103,-0.0103,0.2514,Forearm,FALSE
d1-001,1_tooluseinVR,second,5,15,post,Wrist,Wrist,0.0128,0.0128,0.2504,Wrist,FALSE
d1-001,1_tooluseinVR,second,5,16,post,Elbow,Elbow,-0.1029,-0.1029,0.2493,Elbow,FALSE
d1-001,1_tooluseinVR,second,5,17,post,Forearm,Forearm,-0.0106,-0.0106,0.2485,Forearm,FALSE
d1-001,1_tooluseinVR,second,5,18,post,Wrist,Wrist,0.0144,0.0144,0.2579,Wrist,FALSE
d1-002,1_tooluseinVR,pre,1,1,pre,Elbow,Elbow,-0.0444,-0.0444,0.2505,Elbow,FALSE
d1-002,1_tooluseinVR,pre,1,2,pre,Forearm,Forearm,0.1128,0.1128,0.2502,Wrist,FALSE
d1-002,1_tooluseinVR,pre,1,3,pre,Wrist,Wrist,-0.0379,-0.0379,0.2497,Wrist,FALSE
d1-002,1_tooluseinVR,pre,1,4,pre,Elbow,Elbow,-0.0549,-0.0549,0.2495,Elbow,FALSE
d1-002,1_tooluseinVR,pre,1,5,pre,Wrist,Wrist,-0.0159,-0.0159,0.2503,Wrist,FALSE
d1-002,1_tooluseinVR,pre,1,6,pre,Forearm,Forearm,-0.0225,-0.0225,0.2505,Forearm,FALSE
d1-002,1_tooluseinVR,pre,1,7,pre,Wrist,Wrist,-0.0857,-0.0857,0.2507,Forearm,FALSE
d1-002,1_tooluseinVR,pre,1,8,pre,Forearm,Forearm,-0.07,-0.07,0.2509,Elbow,FALSE
d1-002,1_tooluseinVR,pre,1,9,pre,Elbow,Elbow,-0.0357,-0.0357,0.2511,Elbow,FALSE
d1-002,1_tooluseinVR,pre,1,10,pre,Forearm,Forearm,-0.0295,-0.0295,0.2509,Forearm,FALSE
d1-002,1_tooluseinVR,pre,1,11,pre,Wrist,Wrist,-0.1151,-0.1151,0.2509,Forearm,FALSE
d1-002,1_tooluseinVR,pre,1,12,pre,Elbow,Elbow,-0.0129,-0.0129,0.2509,Elbow,FALSE
d1-002,1_tooluseinVR,pre,1,13,pre,Forearm,Forearm,0.0156,0.0156,0.2507,Forearm,FALSE
d1-002,1_tooluseinVR,pre,1,14,pre,Wrist,Wrist,-0.023,-0.023,0.251,Wrist,FALSE
d1-002,1_tooluseinVR,pre,1,15,pre,Forearm,Forearm,-7e-04,-7e-04,0.2511,Forearm,FALSE
d1-002,1_tooluseinVR,pre,1,16,pre,Elbow,Elbow,-0.0137,-0.0137,0.2511,Elbow,FALSE
d1-002,1_tooluseinVR,pre,1,17,pre,Wrist,Wrist,-0.0108,-0.0108,0.2514,Wrist,FALSE
d1-002,1_tooluseinVR,pre,1,18,pre,Elbow,Elbow,-0.0413,-0.0413,0.2511,Elbow,FALSE
d1-002,1_tooluseinVR,second,5,1,post,Elbow,Elbow,-0.0768,-0.0768,0.2537,Elbow,FALSE
d1-002,1_tooluseinVR,second,5,2,post,Forearm,Forearm,0.0118,0.0118,0.2539,Forearm,FALSE
d1-002,1_tooluseinVR,second,5,3,post,Wrist,Wrist,-0.0383,-0.0383,0.2537,Wrist,FALSE
d1-002,1_tooluseinVR,second,5,4,post,Elbow,Elbow,-0.0358,-0.0358,0.2536,Elbow,FALSE
d1-002,1_tooluseinVR,second,5,5,post,Wrist,Wrist,-0.0549,-0.0549,0.2535,Wrist,FALSE
d1-002,1_tooluseinVR,second,5,6,post,Elbow,Elbow,-0.0576,-0.0576,0.2532,Elbow,FALSE
d1-002,1_tooluseinVR,second,5,7,post,Forearm,Forearm,-0.0564,-0.0564,0.2535,Forearm,FALSE
d1-002,1_tooluseinVR,second,5,8,post,Elbow,Wrist,0.2438,-0.00769999999999993,0.2529,Wrist,TRUE
d1-002,1_tooluseinVR,second,5,9,post,Forearm,Forearm,-0.0238,-0.0238,0.2525,Forearm,FALSE
d1-002,1_tooluseinVR,second,5,10,post,Wrist,Wrist,0.002,0.002,0.2534,Wrist,FALSE
d1-002,1_tooluseinVR,second,5,11,post,Forearm,Forearm,-0.0505,-0.0505,0.2541,Forearm,FALSE
d1-002,1_tooluseinVR,second,5,12,post,Wrist,Wrist,0.0301,0.0301,0.2535,Wrist,FALSE
d1-002,1_tooluseinVR,second,5,13,post,Forearm,Forearm,0.0186,0.0186,0.2538,Forearm,FALSE
d1-002,1_tooluseinVR,second,5,14,post,Elbow,Elbow,-0.0625,-0.0625,0.2535,Elbow,FALSE
d1-002,1_tooluseinVR,second,5,15,post,Wrist,Wrist,-0.037,-0.037,0.2554,Wrist,FALSE
d1-002,1_tooluseinVR,second,5,16,post,Elbow,Elbow,-0.1927,-0.1927,0.2551,Elbow,FALSE
d1-002,1_tooluseinVR,second,5,17,post,Forearm,Forearm,-0.047,-0.047,0.2546,Forearm,FALSE
d1-002,1_tooluseinVR,second,5,18,post,Wrist,Wrist,0.0317,0.0317,0.2536,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,1,pre,Forearm,Wrist,0.1842,0.0556000000000001,0.2618,Wrist,TRUE
d1-003,1_tooluseinVR,pre,2,2,pre,Elbow,Elbow,-0.0427,-0.0427,0.2626,Elbow,FALSE
d1-003,1_tooluseinVR,pre,2,3,pre,Forearm,Forearm,0.1239,0.1239,0.2625,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,4,pre,Wrist,Wrist,0.1048,0.1048,0.2625,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,5,pre,Elbow,Elbow,-0.0266,-0.0266,0.2623,Elbow,FALSE
d1-003,1_tooluseinVR,pre,2,6,pre,Forearm,Wrist,0.1334,0.00470000000000015,0.262,Wrist,TRUE
d1-003,1_tooluseinVR,pre,2,7,pre,Elbow,Elbow,-0.0438,-0.0438,0.2628,Elbow,FALSE
d1-003,1_tooluseinVR,pre,2,8,pre,Wrist,Wrist,0.0661,0.0661,0.2631,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,9,pre,Forearm,Forearm,0.0899,0.0899,0.262,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,10,pre,Wrist,Wrist,0.1223,0.1223,0.2632,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,11,pre,Forearm,Forearm,0.0229,0.0229,0.2624,Forearm,FALSE
d1-003,1_tooluseinVR,pre,2,12,pre,Wrist,Wrist,0.1341,0.1341,0.2613,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,13,pre,Elbow,Elbow,0.0113,0.0113,0.2606,Elbow,FALSE
d1-003,1_tooluseinVR,pre,2,14,pre,Wrist,Wrist,0.1304,0.1304,0.26,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,15,pre,Elbow,Elbow,0.0341,0.0341,0.2601,Elbow,FALSE
d1-003,1_tooluseinVR,pre,2,16,pre,Forearm,Forearm,0.0689,0.0689,0.2598,Wrist,FALSE
d1-003,1_tooluseinVR,pre,2,17,pre,Elbow,Elbow,0.0615,0.0615,0.2596,Elbow,FALSE
d1-003,1_tooluseinVR,pre,2,18,pre,Wrist,Wrist,0.1297,0.1297,0.2592,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,1,post,Elbow,Elbow,-0.013,-0.013,0.2673,Elbow,FALSE
d1-003,1_tooluseinVR,second,5,2,post,Forearm,Forearm,0.0288,0.0288,0.2688,Forearm,FALSE
d1-003,1_tooluseinVR,second,5,3,post,Elbow,Elbow,-0.0168,-0.0168,0.2692,Elbow,FALSE
d1-003,1_tooluseinVR,second,5,4,post,Forearm,Forearm,0.0095,0.0095,0.2695,Forearm,FALSE
d1-003,1_tooluseinVR,second,5,5,post,Wrist,Wrist,0.1506,0.1506,0.2701,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,6,post,Elbow,Elbow,-0.0267,-0.0267,0.2708,Elbow,FALSE
d1-003,1_tooluseinVR,second,5,7,post,Wrist,Wrist,0.1214,0.1214,0.27,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,8,post,Forearm,Forearm,0.1021,0.1021,0.2695,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,9,post,Wrist,Wrist,0.1514,0.1514,0.2689,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,10,post,Forearm,Forearm,0.1041,0.1041,0.2682,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,11,post,Wrist,Wrist,0.0977,0.0977,0.2683,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,12,post,Elbow,Elbow,-0.061,-0.061,0.2686,Elbow,FALSE
d1-003,1_tooluseinVR,second,5,13,post,Wrist,Wrist,0.1298,0.1298,0.2684,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,14,post,Forearm,Forearm,0.0503,0.0503,0.268,Forearm,FALSE
d1-003,1_tooluseinVR,second,5,15,post,Elbow,Elbow,-0.0205,-0.0205,0.2679,Elbow,FALSE
d1-003,1_tooluseinVR,second,5,16,post,Wrist,Wrist,0.138,0.138,0.2678,Wrist,FALSE
d1-003,1_tooluseinVR,second,5,17,post,Forearm,Forearm,0.0316,0.0316,0.2678,Forearm,FALSE
d1-003,1_tooluseinVR,second,5,18,post,Elbow,Elbow,0.007,0.007,0.2685,Elbow,FALSE
d1-004,1_tooluseinVR,pre,2,1,pre,Forearm,Forearm,-0.031,-0.031,0.281,Forearm,FALSE
d1-004,1_tooluseinVR,pre,2,2,pre,Elbow,Elbow,-0.023,-0.023,0.2801,Elbow,FALSE
d1-004,1_tooluseinVR,pre,2,3,pre,Wrist,Wrist,0.0282,0.0282,0.2785,Wrist,FALSE
d1-004,1_tooluseinVR,pre,2,4,pre,Elbow,Elbow,-0.0011,-0.0011,0.277,Elbow,FALSE
d1-004,1_tooluseinVR,pre,2,5,pre,Forearm,Forearm,-0.0602,-0.0602,0.2763,Forearm,FALSE
d1-004,1_tooluseinVR,pre,2,6,pre,Elbow,Elbow,0.0235,0.0235,0.2753,Elbow,FALSE
