ppid,time,armlength,perceived,veridical,ratio
d1-001,Pre,25,0.305994444444444,0.249388888888889,123
d1-001,Post,25,0.308114285714286,0.252755555555556,122
d1-002,Pre,25,0.233533333333333,0.247711111111111,94
d1-002,Post,25,0.327168571428571,0.252266666666667,130
d1-003,Pre,26,0.3513375,0.256883333333333,137
d1-003,Post,26,0.41855,0.265388888888889,158
d1-004,Pre,25,0.290016666666667,0.273094444444444,106
d1-004,Post,25,0.291566666666667,0.225822222222222,129
d1-005,Pre,21,0.250816666666667,0.204683333333334,123
d1-005,Post,21,0.213466666666667,0.218188888888889,98
d1-006,Pre,21,0.353055,0.213761111111111,165
d1-006,Post,21,0.371216666666667,0.208455555555555,178
d1-007,Pre,31,0.308366666666667,0.305688888888889,101
d1-007,Post,31,0.282833333333334,0.319261111111111,89
d1-008,Pre,27,0.310983333333333,0.2665,117
d1-008,Post,27,0.253033333333333,0.272,93
d1-009,Pre,27,0.383966666666667,0.266605555555556,144
d1-009,Post,27,0.350883333333333,0.275538888888889,127
d1-010,Pre,23,0.297745238095238,0.2368,126
d1-010,Post,23,0.321383333333333,0.232944444444444,138
d1-011,Pre,22,0.291033333333333,0.212627777777778,137
d1-011,Post,22,0.271233333333333,0.218811111111111,124
d1-012,Pre,22,0.321133333333334,0.217422222222222,148
d1-012,Post,22,0.403083333333333,0.227966666666667,177
d1-013,Pre,23,0.249097619047619,0.232811111111111,107
d1-013,Post,23,0.27965,0.233177777777778,120
d1-014,Pre,28,0.3424,0.279683333333333,122
d1-014,Post,28,0.271016666666667,0.288277777777778,94
d1-015,Pre,23,0.24031,0.227527777777778,106
d1-015,Post,23,0.212966666666667,0.230116666666667,93
d1-016,Pre,29,0.23725,0.289488888888889,82
d1-016,Post,29,0.28568,0.294022222222222,97
d1-017,Pre,23,0.379892857142857,0.227622222222222,167
d1-017,Post,23,0.364783333333333,0.2276,160
d1-018,Pre,21,0.276683333333333,0.209177777777778,132
d1-018,Post,21,0.278757142857143,0.20905,133
d1-019,Pre,25,0.24225,0.248766666666667,97
d1-019,Post,25,0.24005,0.259961111111111,92
d1-020,Pre,22,0.2561,0.228733333333333,112
d1-020,Post,22,0.202379166666667,0.208872222222222,97
d1-021,Pre,24,0.2391,0.238722222222222,100
d1-021,Post,24,0.3084,0.248716666666667,124
d1-022,Pre,24,0.300466666666667,0.238711111111111,126
d1-022,Post,24,0.38265,0.243433333333333,157
d1-023,Pre,21,0.204683333333333,0.209738888888889,98
d1-023,Post,21,0.2536,0.209755555555555,121
d1-024,Pre,21,0.215046428571429,0.208466666666667,103
d1-024,Post,21,0.224983333333333,0.213161111111111,106
