ppid,experiment,participant,trial,block,wpos_x,wpos_y,wpos_z,epos_x,epos_y,epos_z,fpos_x,fpos_y,fpos_z,spos_x,spos_y,spos_z,target,error,forearmlength,noisewrist,noiseelbow,startposition,trialtime,time,order,closest_to,error_closest_to,lapse,lapse_fix_target,lapse_fix_error
d1-001,1_tooluseinVR,d1-001,1,1,0.329,0.8,-1.0124,0.333,0.8409,-1.2659,0.331,0.8204,-1.1392,0.3303,0.78,-0.9842,Wrist,0.0282,0.2569,0.2094,0.1929,0.4947809,4.6747,pre,pre,Wrist,0.0282,FALSE,Wrist,0.0282
d1-001,1_tooluseinVR,d1-001,2,1,0.3292,0.7998,-1.0124,0.3329,0.8409,-1.2658,0.331,0.8203,-1.1391,0.3309,0.7798,-1.1077,Forearm,0.0314,0.2567,0.2044,0.2135,0.6569721,2.0434,pre,pre,Forearm,0.0314000000000001,FALSE,Forearm,0.0314
d1-001,1_tooluseinVR,d1-001,3,1,0.3298,0.7996,-1.0131,0.3328,0.841,-1.2657,0.3313,0.8203,-1.1394,0.3305,0.7796,-0.9733,Wrist,0.0398,0.256,0.2088,0.1784,0.5901515,1.9771,pre,pre,Wrist,0.0397999999999998,FALSE,Wrist,0.0398
d1-001,1_tooluseinVR,d1-001,4,1,0.3302,0.7993,-1.0135,0.3321,0.8411,-1.2657,0.3312,0.8202,-1.1396,0.3312,0.7793,-1.1422,Forearm,-0.0026,0.2556,0.2579,0.2069,0.4745131,2.4097,pre,pre,Forearm,-0.00260000000000016,FALSE,Forearm,-0.0026
d1-001,1_tooluseinVR,d1-001,5,1,0.33,0.7993,-1.0136,0.3303,0.8415,-1.2648,0.3301,0.8204,-1.1392,0.3302,0.7793,-1.4108,Elbow,-0.146,0.2547,0.2266,0.2716,0.8986421,1.0773,pre,pre,Elbow,-0.146,FALSE,Elbow,-0.146
d1-001,1_tooluseinVR,d1-001,6,1,0.33,0.7993,-1.0135,0.3309,0.8416,-1.2645,0.3305,0.8204,-1.139,0.3306,0.7793,-1.2256,Forearm,-0.0866,0.2545,0.2334,0.2233,0.2672088,1.6436,pre,pre,Elbow,0.0388999999999999,FALSE,Forearm,-0.0866
d1-001,1_tooluseinVR,d1-001,7,1,0.3302,0.7992,-1.0141,0.3296,0.8418,-1.2643,0.3299,0.8205,-1.1392,0.3297,0.7792,-1.4121,Elbow,-0.1479,0.2538,0.2563,0.2281,1.313542,1.5439,pre,pre,Elbow,-0.1478,FALSE,Elbow,-0.1479
d1-001,1_tooluseinVR,d1-001,8,1,0.3304,0.7994,-1.0141,0.3296,0.842,-1.2641,0.33,0.8207,-1.1391,0.33,0.7794,-1.0874,Wrist,-0.0733,0.2536,0.1703,0.1793,1.0819,1.7662,pre,pre,Forearm,0.0517000000000001,FALSE,Wrist,-0.0733
d1-001,1_tooluseinVR,d1-001,9,1,0.331,0.7992,-1.0134,0.33,0.8422,-1.2634,0.3305,0.8207,-1.1384,0.3303,0.7792,-1.2681,Forearm,-0.1297,0.2537,0.2309,0.2483,0.4305853,3.4431,pre,pre,Elbow,-0.00469999999999993,TRUE,Elbow,-0.00469999999999993
d1-001,1_tooluseinVR,d1-001,10,1,0.3315,0.7992,-1.0142,0.3301,0.8421,-1.2637,0.3308,0.8206,-1.1389,0.331,0.7792,-1.0535,Wrist,-0.0393,0.2531,0.2032,0.2594,0.9593331,1.4451,pre,pre,Wrist,-0.0393000000000001,FALSE,Wrist,-0.0393
d1-001,1_tooluseinVR,d1-001,11,1,0.3325,0.7988,-1.0146,0.3305,0.8419,-1.2639,0.3315,0.8203,-1.1393,0.3311,0.7788,-1.2956,Forearm,-0.1563,0.253,0.265,0.1739,0.3404109,1.6991,pre,pre,Elbow,-0.0317000000000001,TRUE,Elbow,-0.0317000000000001
d1-001,1_tooluseinVR,d1-001,12,1,0.3355,0.7977,-1.0167,0.3318,0.8417,-1.2652,0.3337,0.8197,-1.1409,0.3323,0.7777,-1.3477,Elbow,-0.0825,0.2524,0.1942,0.224,0.283686,4.9974,pre,pre,Elbow,-0.0824999999999998,FALSE,Elbow,-0.0825
d1-001,1_tooluseinVR,d1-001,13,1,0.3378,0.797,-1.0179,0.3335,0.8414,-1.2649,0.3357,0.8192,-1.1414,0.3348,0.777,-1.2852,Forearm,-0.1438,0.251,0.1711,0.2257,0.669813,0.8773,pre,pre,Elbow,-0.0203,TRUE,Elbow,-0.0203
d1-001,1_tooluseinVR,d1-001,14,1,0.3392,0.7965,-1.0188,0.3343,0.8411,-1.2658,0.3367,0.8188,-1.1423,0.3349,0.7765,-1.4151,Elbow,-0.1493,0.251,0.2531,0.2621,0.32202,0.6997,pre,pre,Elbow,-0.1493,FALSE,Elbow,-0.1493
d1-001,1_tooluseinVR,d1-001,15,1,0.3397,0.7961,-1.0197,0.3352,0.8406,-1.2666,0.3375,0.8183,-1.1431,0.3377,0.7761,-1.1099,Wrist,-0.0902,0.2509,0.2171,0.1872,1.052281,1.7884,pre,pre,Forearm,0.0331999999999999,FALSE,Wrist,-0.0902
d1-001,1_tooluseinVR,d1-001,16,1,0.3413,0.7954,-1.0211,0.335,0.8405,-1.2671,0.3381,0.8179,-1.1441,0.3357,0.7754,-1.3802,Elbow,-0.1132,0.2501,0.2328,0.2583,1.504172,2.2321,pre,pre,Elbow,-0.1131,FALSE,Elbow,-0.1132
d1-001,1_tooluseinVR,d1-001,17,1,0.3422,0.7949,-1.0219,0.3349,0.8403,-1.2673,0.3386,0.8176,-1.1446,0.3391,0.7749,-1.1064,Wrist,-0.0845,0.2497,0.2825,0.2916,1.899245,0.8768,pre,pre,Forearm,0.0382,FALSE,Wrist,-0.0845
d1-001,1_tooluseinVR,d1-001,18,1,0.3421,0.7946,-1.0221,0.334,0.8405,-1.2674,0.338,0.8176,-1.1448,0.3355,0.7746,-1.4112,Elbow,-0.1438,0.2497,0.2689,0.2652,0.6432055,4.3424,pre,pre,Elbow,-0.1438,FALSE,Elbow,-0.1438
d1-001,1_tooluseinVR,d1-001,1,5,0.3594,0.7772,-1.0448,0.3524,0.8072,-1.2978,0.3559,0.7922,-1.1713,0.357,0.7572,-1.0669,Wrist,-0.0222,0.2548,0.2772,0.2388,0.3878179,0.9438,post,second,Wrist,-0.0221,FALSE,Wrist,-0.0222
d1-001,1_tooluseinVR,d1-001,2,5,0.3584,0.7775,-1.0443,0.3523,0.8069,-1.2985,0.3554,0.7922,-1.1714,0.3536,0.7575,-1.3694,Elbow,-0.0709,0.2559,0.2953,0.2701,1.822628,1.4545,post,second,Elbow,-0.0709,FALSE,Elbow,-0.0709
d1-001,1_tooluseinVR,d1-001,3,5,0.3577,0.7777,-1.0437,0.3522,0.807,-1.2985,0.355,0.7923,-1.1711,0.3543,0.7577,-1.2629,Forearm,-0.0918,0.2565,0.1972,0.2723,1.190388,2.0878,post,second,Elbow,0.0356000000000001,FALSE,Forearm,-0.0918
d1-001,1_tooluseinVR,d1-001,4,5,0.3578,0.7777,-1.0437,0.352,0.8068,-1.2986,0.3549,0.7922,-1.1711,0.356,0.7577,-1.0668,Wrist,-0.0231,0.2566,0.2362,0.1913,0.1932382,2.2655,post,second,Wrist,-0.0230999999999999,FALSE,Wrist,-0.0231
d1-001,1_tooluseinVR,d1-001,5,5,0.3586,0.7772,-1.0442,0.3521,0.8068,-1.2982,0.3554,0.792,-1.1712,0.3533,0.7572,-1.3609,Elbow,-0.0627,0.2558,0.1846,0.225,1.698575,2.01,post,second,Elbow,-0.0627,FALSE,Elbow,-0.0627
d1-001,1_tooluseinVR,d1-001,6,5,0.3584,0.7772,-1.0443,0.3535,0.806,-1.2995,0.356,0.7916,-1.1719,0.3555,0.7572,-1.2494,Forearm,-0.0775,0.2569,0.1874,0.1815,0.4977629,2.3101,post,second,Elbow,0.0501,FALSE,Forearm,-0.0775
d1-001,1_tooluseinVR,d1-001,7,5,0.3578,0.7774,-1.0439,0.3533,0.806,-1.3001,0.3556,0.7917,-1.172,0.3561,0.7574,-1.0921,Wrist,-0.0483,0.2578,0.1826,0.2997,0.2727342,2.1879,post,second,Wrist,-0.0482,FALSE,Wrist,-0.0483
d1-001,1_tooluseinVR,d1-001,8,5,0.3568,0.7779,-1.0429,0.3527,0.8063,-1.2996,0.3548,0.7921,-1.1713,0.354,0.7579,-1.3703,Elbow,-0.0707,0.2583,0.2893,0.2939,0.189424,2.8552,post,second,Elbow,-0.0707,FALSE,Elbow,-0.0707
d1-001,1_tooluseinVR,d1-001,9,5,0.3573,0.7778,-1.0431,0.3531,0.8062,-1.2998,0.3552,0.792,-1.1714,0.3556,0.7578,-1.1022,Wrist,-0.0591,0.2583,0.1846,0.232,1.108952,1.5214,post,second,Wrist,-0.0591000000000002,FALSE,Wrist,-0.0591
d1-001,1_tooluseinVR,d1-001,10,5,0.3594,0.777,-1.0444,0.3535,0.8059,-1.3002,0.3564,0.7915,-1.1723,0.3562,0.757,-1.2263,Forearm,-0.054,0.2574,0.2885,0.2676,1.522331,1.0437,post,second,Forearm,-0.0540000000000001,FALSE,Forearm,-0.054
d1-001,1_tooluseinVR,d1-001,11,5,0.3627,0.7757,-1.0472,0.3547,0.8055,-1.3002,0.3587,0.7906,-1.1737,0.3564,0.7557,-1.3971,Elbow,-0.0969,0.2548,0.1939,0.1795,0.5798866,3.4309,post,second,Elbow,-0.0969,FALSE,Elbow,-0.0969
d1-001,1_tooluseinVR,d1-001,12,5,0.3652,0.7745,-1.0492,0.3546,0.8055,-1.3007,0.3599,0.79,-1.175,0.3574,0.7545,-1.3183,Forearm,-0.1433,0.2536,0.2211,0.1787,0.2693737,1.3546,post,second,Elbow,-0.0176000000000001,TRUE,Elbow,-0.0176000000000001
d1-001,1_tooluseinVR,d1-001,13,5,0.3677,0.7735,-1.0511,0.3548,0.8052,-1.3013,0.3613,0.7893,-1.1762,0.3564,0.7535,-1.3998,Elbow,-0.0985,0.2525,0.2885,0.2796,0.4863528,3.2982,post,second,Elbow,-0.0985,FALSE,Elbow,-0.0985
d1-001,1_tooluseinVR,d1-001,14,5,0.3687,0.773,-1.0524,0.3529,0.8057,-1.3011,0.3608,0.7893,-1.1767,0.3605,0.753,-1.187,Forearm,-0.0103,0.2514,0.1715,0.2542,0.3610099,1.6106,post,second,Forearm,-0.0103,FALSE,Forearm,-0.0103
d1-001,1_tooluseinVR,d1-001,15,5,0.3701,0.7722,-1.0533,0.3524,0.8062,-1.3007,0.3613,0.7892,-1.177,0.366,0.7522,-1.0404,Wrist,0.0128,0.2504,0.1968,0.2722,0.8878832,1.8214,post,second,Wrist,0.0128999999999999,FALSE,Wrist,0.0128
d1-001,1_tooluseinVR,d1-001,16,5,0.3707,0.772,-1.0539,0.3519,0.8064,-1.3001,0.3613,0.7892,-1.177,0.3563,0.752,-1.403,Elbow,-0.1029,0.2493,0.2502,0.2354,1.698317,1.7102,post,second,Elbow,-0.1029,FALSE,Elbow,-0.1029
d1-001,1_tooluseinVR,d1-001,17,5,0.3714,0.7718,-1.0546,0.3513,0.8065,-1.2998,0.3613,0.7892,-1.1772,0.3608,0.7518,-1.1878,Forearm,-0.0106,0.2485,0.2735,0.2436,0.5864142,2.0878,post,second,Forearm,-0.0105999999999999,FALSE,Forearm,-0.0106
d1-001,1_tooluseinVR,d1-001,18,5,0.3532,0.7744,-1.042,0.3505,0.8068,-1.2979,0.3518,0.7906,-1.1699,0.3523,0.7544,-1.0276,Wrist,0.0144,0.2579,0.2558,0.21,0.5680635,1.8546,post,second,Wrist,0.0144,FALSE,Wrist,0.0144
