ppid,time,trial_num_in_block,start_time,start_time_steamvr,,
d1-001,post,15,,100,,
d1-002,pre,6,1340,,,
d1-002,pre,8,1098,,,
d1-002,post,10,1350,,,
d1-002,post,13,1300,,,
d1-003,pre,1,4460,,,
d1-003,pre,2,2900,,,
d1-003,pre,3,2500,,,
d1-003,pre,4,2390,,,
d1-003,pre,5,2500,,,
d1-003,pre,6,2435,,,
d1-003,pre,7,2390,,,
d1-003,pre,12,2475,,,
d1-003,pre,13,2935,,,
d1-003,pre,18,2450,,,
d1-003,post,1,2445,,,
d1-003,post,6,2400,,,
d1-003,post,7,2045,,,
d1-003,post,11,2520,,,
d1-003,post,14,2550,,,
d1-003,post,15,2380,,,
d1-003,post,18,2500,,,
d1-004,pre,1,1600,,,
d1-004,pre,2,17700,,,
d1-004,pre,3,1660,,,
d1-004,pre,4,1700,,,
d1-004,pre,5,2295,,,
d1-004,pre,6,,450,,
d1-004,pre,10,1150,,,
d1-005,post,7,400,,,
d1-005,post,15,450,,,
d1-005,post,18,375,475,,
d1-006,pre,2,,825,,
d1-006,pre,3,850,,,
d1-006,pre,4,700,,,
d1-006,pre,7,637,,,
d1-006,pre,8,400,,,
d1-006,pre,9,500,,,
d1-006,post,16,100,200,,
d1-006,post,8,,0,,
d1-006,post,18,50,0,,
d1-007,pre,4,400,,,
d1-007,pre,10,400,,,
d1-007,pre,14,250,330,,
d1-007,pre,15,300,330,,
d1-007,pre,17,300,330,,
d1-007,pre,18,300,330,,
d1-008,post,3,205,,,
d1-008,post,4,60,,,
d1-008,post,5,275,,,
d1-008,post,7,215,,,
d1-008,post,8,224,,,
d1-008,post,9,165,,,
d1-008,post,10,125,,,
d1-008,post,11,315,,,
d1-008,post,12,1800,,,
d1-008,post,14,200,235,,
d1-008,post,18,200,285,,
d1-009,pre,12,300,,,
d1-009,pre,13,200,,,
d1-009,post,2,349,,,
d1-009,post,6,582,,,
d1-010,pre,1,700,,,
d1-010,pre,2,800,,,
d1-010,pre,3,510,,,
d1-010,pre,4,700,,,
d1-010,pre,5,550,,,
d1-010,pre,11,600,,,
d1-010,pre,14,600,,,
d1-010,pre,16,650,550,,
d1-010,pre,17,450,,,
d1-010,post,9,500,,,
d1-010,post,11,500,,,
d1-011,pre,1,1100,600,,
d1-011,pre,3,625,,,
d1-011,pre,14,600,,,
d1-011,post,8,,,,
d1-011,post,17,350,,,
d1-012,pre,1,,360,,
d1-012,post,2,,451,,
d1-012,pre,13,350,821,,
d1-012,pre,17,350,,,
d1-012,post,1,600,450,,
d1-013,pre,2,0,450,,
d1-013,pre,4,1640,655,,
d1-013,pre,6,350,750,,
d1-013,post,6,400,,,
d1-014,pre,1,650,,,
d1-014,pre,8,280,,,
d1-014,post,9,,,,
d1-014,post,18,350,374,,
d1-015,pre,1,500,,,
d1-015,pre,2,700,450,,
d1-015,pre,5,200,800,,
d1-015,pre,6,1420,900,,
d1-015,pre,7,,250,,
d1-015,pre,10,450,,,
d1-015,pre,11,400,,,
d1-015,pre,12,400,,,
d1-015,pre,13,375,,,
d1-015,pre,14,345,,,
d1-015,pre,15,300,,,
d1-015,pre,16,300,,,
d1-015,pre,17,200,,,
d1-015,pre,18,300,,,
d1-015,post,1,220,,,
d1-015,post,2,210,,,
d1-015,post,7,100,400,,
d1-015,post,4,400,256,,`
d1-015,post,5,400,400,,
d1-015,post,9,385,,,
d1-015,post,11,452,,,
d1-015,post,16,300,445,,
d1-016,pre,4,450,400,,
d1-016,pre,8,300,375,,
d1-016,pre,12,350,450,,
d1-016,post,4,150,400,,
d1-016,post,5,200,350,,
d1-017,post,1,740,340,,
d1-017,post,8,150,250,,
d1-018,pre,1,625,275,,
d1-018,pre,3,550,250,,
d1-018,pre,4,735,,,
d1-018,pre,9,450,,,
d1-018,pre,10,350,,,
d1-018,pre,11,500,400,,
d1-018,pre,12,500,550,,
d1-018,pre,14,400,,,
d1-018,pre,17,250,500,,
d1-018,pre,18,450,400,,
d1-018,post,6,500,350,,
d1-018,post,7,525,,,
d1-018,post,8,400,600,,
d1-018,post,13,500,500,,
d1-018,post,17,380,,,
d1-019,pre,7,450,,,
d1-019,pre,11,650,,,
d1-019,post,2,,448,,
d1-019,post,3,,650,,
d1-019,post,4,230,,,
d1-019,post,5,,100,,
d1-019,post,6,0,289,,
d1-019,post,13,300,277,,
d1-020,pre,1,3150,350,,
d1-020,pre,2,650,350,,
d1-020,pre,3,550,3100,,
d1-020,pre,4,650,750,,
d1-020,pre,5,,700,,
d1-020,pre,8,600,737,,
d1-020,pre,12,485,700,,
d1-020,pre,14,,700,,
d1-020,pre,17,,468,,
d1-020,pre,18,603,,,
d1-020,post,14,415,791,,
d1-021,pre,1,395,,,
d1-021,pre,3,400,395,,
d1-021,pre,5,400,,,
d1-021,pre,8,,,,
d1-021,pre,9,400,511,,
d1-021,pre,10,375,,,
d1-021,pre,15,475,,,
d1-021,pre,16,500,,,
d1-021,post,2,300,508,,
d1-021,post,3,395,,,
d1-021,post,4,385,,,
d1-021,post,8,400,400,,
d1-021,post,11,300,,,
d1-021,post,12,400,,,
d1-021,post,13,400,,,
d1-022,pre,3,,434,,
d1-022,post,16,300,741,,
d1-022,post,17,300,,,
d1-023,pre,3,450,,,
d1-023,pre,16,350,,,
d1-023,pre,17,,,,
d1-023,post,1,,500,,
d1-023,post,4,400,400,,
d1-023,post,8,300,344,,
d1-023,post,14,300,400,,
d1-023,post,16,380,400,,
d1-023,post,17,400,,,
d1-023,post,18,450,,,
d1-024,post,7,0,,,
