ppid,trial_num_in_block,time,block_num,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,order
d1-001,1,post,4,887.6576716769944,NA,NA,-2752.028525320653,NA,NA,first
d1-001,1,pre,2,756.1342818172473,NA,NA,-2444.8724156310245,NA,NA,pre
d1-001,2,post,4,799.8144377416431,NA,NA,-2106.2051563382065,NA,NA,first
d1-001,2,pre,2,838.5127859020992,NA,NA,-1893.8208989552804,NA,NA,pre
d1-001,3,post,4,865.8809409659241,NA,NA,-2315.2767361955666,NA,NA,first
d1-001,3,pre,2,656.984183839689,NA,NA,-1830.7358079076005,NA,NA,pre
d1-001,4,post,4,771.8366923590563,NA,NA,-2248.642221356504,NA,NA,first
d1-001,4,pre,2,704.356520949613,NA,NA,-1618.9670298036135,NA,NA,pre
d1-001,5,post,4,896.9883415646028,NA,NA,-3147.8925225069993,NA,NA,first
d1-001,5,pre,2,653.0212156815395,NA,NA,-1577.1099073774221,NA,NA,pre
d1-001,6,post,4,761.5344796543706,NA,NA,-2113.957177849773,NA,NA,first
d1-001,6,pre,2,747.6188404237648,NA,NA,-1986.4245518294115,NA,NA,pre
d1-001,7,post,4,787.1409939050518,NA,NA,-2583.9163162109626,NA,NA,first
d1-001,7,pre,2,700.1954730322891,NA,NA,-2035.4446062163993,NA,NA,pre
d1-001,8,post,4,806.5320398906955,NA,NA,-2233.439248388101,NA,NA,first
d1-001,8,pre,2,832.2348438413433,NA,NA,-1981.5582888771398,NA,NA,pre
d1-001,9,post,4,796.3980280250278,NA,NA,-2744.351706485527,NA,NA,first
d1-001,9,pre,2,755.2298809202294,NA,NA,-1951.5606465706237,NA,NA,pre
d1-001,10,post,4,811.3671992908127,NA,NA,-3028.1425280486246,NA,NA,first
d1-001,10,pre,2,842.3123893128442,NA,NA,-2461.0232665487483,NA,NA,pre
d1-001,11,post,4,740.7598866260194,NA,NA,-1659.8747552010686,NA,NA,first
d1-001,11,pre,2,895.8705888253745,NA,NA,-3316.283285564049,NA,NA,pre
d1-001,12,post,4,760.6123442234492,NA,NA,-1665.9593032990965,NA,NA,first
d1-001,12,pre,2,795.2443885129474,NA,NA,-2587.638504271938,NA,NA,pre
d1-001,13,post,4,820.1869754330135,NA,NA,-2249.2150363927485,NA,NA,first
d1-001,13,pre,2,828.3414953128477,NA,NA,-2465.716650001668,NA,NA,pre
d1-001,14,post,4,640.3496434169224,NA,NA,-1663.4840144773289,NA,NA,first
d1-001,14,pre,2,939.7798428606734,NA,NA,-3198.8975192581183,NA,NA,pre
d1-001,15,post,4,621.5666813827671,NA,NA,-1755.6364933282498,NA,NA,first
d1-001,15,pre,2,847.5285930688083,NA,NA,-2634.5625504551363,NA,NA,pre
d1-001,16,post,4,783.9772234013251,NA,NA,-1993.3893548051785,NA,NA,first
d1-001,16,pre,2,866.1984217187152,NA,NA,-2627.205439139708,NA,NA,pre
d1-001,17,post,4,619.7155849194442,NA,NA,-3548.7412245687274,NA,NA,first
d1-001,17,pre,2,781.0575659405667,NA,NA,-2570.023284264038,NA,NA,pre
d1-001,18,post,4,742.3233192848089,NA,NA,-1845.291211691067,NA,NA,first
d1-001,18,pre,2,793.2590508313397,NA,NA,-1913.6486846737125,NA,NA,pre
d1-002,1,post,4,990.8088110546798,265,4354.2755260740005,-3865.382092178536,150,405,first
d1-002,1,pre,2,868.7361690142984,295,3988.0325748327828,-2640.6712790900538,110,465,pre
d1-002,2,post,4,1213.391806652076,270,6236.99501396706,-4774.734507606361,140,395,first
d1-002,2,pre,2,1169.6694861732217,235,6878.684754734023,-4420.262213285747,95,405,pre
d1-002,3,post,4,1129.897850492831,285,5991.922897270386,-4843.576934427304,110,425,first
d1-002,3,pre,2,1009.1358048776768,300,4456.43934895594,-3609.2205242600085,120,515,pre
d1-002,4,post,4,1121.8997357976398,280,5298.551140784411,-4997.044344887465,150,425,first
d1-002,4,pre,2,823.4349004083463,435,2887.141497303577,-3193.760111418249,100,545,pre
d1-002,5,post,4,1043.1875491433734,270,5334.227087383267,-5037.677586840591,115,450,first
d1-002,5,pre,2,1116.6878180716242,345,4672.480573459665,-4159.526209329657,175,465,pre
d1-002,6,post,4,1080.7284450722564,285,5878.437819418261,-4139.979252451687,165,350,first
d1-002,6,pre,2,1246.4773708856214,360,5767.338264561749,-6885.973583975374,170,440,pre
d1-002,7,post,4,1256.7490239049937,280,6837.193451097977,-5221.789658928812,120,415,first
d1-002,7,pre,2,1112.5192609126711,275,5218.623506073473,-3821.354843976427,130,570,pre
d1-002,8,post,4,1174.3200298999468,315,5973.8824797691705,-5625.768306637237,160,425,first
d1-002,8,pre,2,1123.6540413919522,447,4559.102862325237,-5892.021642743076,247,547,pre
d1-002,9,post,4,1135.901426794957,280,5644.0718713794195,-5296.606071656359,145,450,first
d1-002,9,pre,2,1131.1167682782177,295,5409.15274720545,-5122.952546727157,125,440,pre
d1-002,10,post,4,1037.702282451562,360,5168.725697652965,-3853.6927943557957,205,545,first
d1-002,10,pre,2,1105.774187322355,295,5216.660693665766,-5507.2467724029275,155,530,pre
d1-002,11,post,4,1122.5682799938863,280,5496.138965054057,-4681.435590776897,110,405,first
d1-002,11,pre,2,1152.812944444899,290,6191.859410519644,-4044.5898288648377,110,490,pre
d1-002,12,post,4,1115.4746655184763,255,5574.497326857754,-4701.998404383053,115,400,first
d1-002,12,pre,2,1166.1806014404938,285,5206.299724787571,-4534.360285931254,165,400,pre
d1-002,13,post,4,1262.3938908725252,275,6479.505671717045,-5200.592842549944,205,490,first
d1-002,13,pre,2,1225.1239766283607,310,5569.522992635884,-6987.433948079486,105,445,pre
d1-002,14,post,4,987.6671771597854,340,4220.174914504847,-3599.161207493547,175,405,first
d1-002,14,pre,2,1238.888259254896,315,5748.167532886437,-5779.4625489024875,135,435,pre
d1-002,15,post,4,915.5224564492081,320,4292.9974797799805,-2917.9227249410324,105,575,first
d1-002,15,pre,2,1175.8751887428773,275,6144.924847893713,-4084.6223242169085,160,440,pre
d1-002,16,post,4,1098.6900619745268,285,5334.402791500637,-4835.643362747598,160,370,first
d1-002,16,pre,2,1154.7119628510945,290,5692.372715981637,-4601.355931681269,130,385,pre
d1-002,17,post,4,1252.2838486860774,275,5792.7936795525075,-5206.154827955755,130,350,first
d1-002,17,pre,2,1110.0634171180304,315,4811.972569020696,-4403.906924608404,145,570,pre
d1-002,18,post,4,1185.3724185235383,310,5680.0842157940315,-5002.297309966461,120,430,first
d1-002,18,pre,2,1433.0589978147395,295,8284.173270437186,-8616.497587273341,110,390,pre
d1-003,1,post,4,825.1753893139264,445,4429.56636630724,-2155.565818050622,130,555,first
d1-003,1,pre,1,840.0811214733419,180,8701.080060689146,-2243.8333853310696,115,710,pre
d1-003,2,post,4,862.7541969338604,405,4533.745054956303,-2694.949442589805,70,750,first
d1-003,2,pre,1,903.8451531899871,340,4380.876096523928,-2416.5154446450783,120,455,pre
d1-003,3,post,4,969.388897947787,435,6257.891382421649,-3738.456672471579,70,510,first
d1-003,3,pre,1,735.3058353523832,375,3499.2739031988244,-1678.9434671323152,70,645,pre
d1-003,4,post,4,920.4950915844944,340,6640.494735102833,-3003.858508816682,105,555,first
d1-003,4,pre,1,960.8653306398592,415,4193.681844464545,-3039.989018685338,240,620,pre
d1-003,5,post,4,952.1926499252332,210,6701.4884217819135,-2551.9346234473473,85,710,first
d1-003,5,pre,1,920.803401040304,355,4938.243115733043,-3207.3328077189303,170,660,pre
d1-003,6,post,4,812.9294102138554,520,4359.389171296853,-1812.5239025140277,145,770,first
d1-003,6,pre,1,851.9602310055022,460,4043.653828805175,-2711.2964264207967,135,670,pre
d1-003,7,post,4,902.5263232696288,635,3879.498517898276,-2658.1808875003917,370,805,first
d1-003,7,pre,1,1045.830967305044,180,7731.612961912092,-3017.5918691508405,105,565,pre
d1-003,8,post,4,926.6633797150702,405.9,4701.824353896695,-2967.4054357821374,123.95,602.3,first
d1-003,8,pre,1,876.0577627699947,525,3013.0463959920676,-2359.9306029161935,130,620,pre
d1-003,9,post,4,936.054562653113,360.48,5076.628884624803,-3043.6995273451193,109.2,595.9,first
d1-003,9,pre,1,954.4421507083472,275,4548.152931859426,-3074.0498691547987,75,625,pre
d1-003,10,post,4,897.6449697133878,425,4079.742133134905,-2537.5673600816626,85,690,first
d1-003,10,pre,1,953.4596018925091,440,6269.359140433332,-2995.1309461837063,110,530,pre
d1-003,11,post,4,901.428294951417,515,5372.386084212197,-2467.1888169167473,170,805,first
d1-003,11,pre,1,897.3753883198945,190,7042.065939098175,-2529.8414124734486,90,645,pre
d1-003,12,post,4,981.9709361350393,400,4747.878366058932,-2607.0760116475076,125,505,first
d1-003,12,pre,1,888.6695214603549,500,4094.926544839629,-3315.0726015339815,110,605,pre
d1-003,13,post,4,1026.6401554254649,200,6889.627612193282,-2393.6532682066354,95,620,first
d1-003,13,pre,1,970.3068742349366,450,3887.789449412979,-2837.562973126094,105,675,pre
d1-003,14,post,4,950.7016462199604,480,5406.777643909954,-3782.871203652261,85,620,first
d1-003,14,pre,1,941.6590236383632,320,5012.228130977593,-2572.817211866024,140,640,pre
d1-003,15,post,4,1032.5393786409904,500,6957.771659712431,-3352.81886768609,120,685,first
d1-003,15,pre,1,902.9298024783535,425,3892.469737867279,-3046.7810249603717,115,690,pre
d1-003,16,post,4,937.928986172986,485,5893.45533701425,-3448.507743463524,130,620,first
d1-003,16,pre,1,1095.7603271996231,245,6348.0331970690495,-4281.685875384105,140,690,pre
d1-003,17,post,4,884.5690590162501,415,4727.261845465906,-2507.8696997003944,80,560,first
