ppid,trial_num_in_block,time,start_time
d1-001,1,post,30
d1-001,2,post,30
d1-001,3,post,45
d1-001,4,post,30
d1-001,5,post,30
d1-001,6,post,30
d1-001,7,post,30
d1-001,8,post,30
d1-001,9,post,30
d1-001,10,post,30
d1-001,11,post,30
d1-001,12,post,30
d1-001,13,post,30
d1-001,14,post,30
d1-001,15,post,210
d1-001,16,post,30
d1-001,17,post,30
d1-001,18,post,30
d1-001,1,pre,30
d1-001,2,pre,30
d1-001,3,pre,30
d1-001,4,pre,30
d1-001,5,pre,30
d1-001,6,pre,30
d1-001,7,pre,30
d1-001,8,pre,30
d1-001,9,pre,30
d1-001,10,pre,195
d1-001,11,pre,30
d1-001,12,pre,200
d1-001,13,pre,30
d1-001,14,pre,30
d1-001,15,pre,30
d1-001,16,pre,30
d1-001,17,pre,30
d1-001,18,pre,30
d1-002,1,post,1275
d1-002,2,post,1315
d1-002,3,post,1310
d1-002,4,post,1310
d1-002,5,post,1445
d1-002,6,post,1505
d1-002,7,post,1315
d1-002,8,post,1275
d1-002,9,post,1370
d1-002,10,post,1350
d1-002,11,post,1680
d1-002,12,post,1375
d1-002,13,post,1300
d1-002,14,post,1580
d1-002,15,post,1295
d1-002,16,post,1480
d1-002,17,post,1340
d1-002,18,post,1315
d1-002,1,pre,2540
d1-002,2,pre,1690
d1-002,3,pre,1400
d1-002,4,pre,1370
d1-002,5,pre,1620
d1-002,6,pre,1340
d1-002,7,pre,1330
d1-002,8,pre,1098
d1-002,9,pre,3575
d1-002,10,pre,1345
d1-002,11,pre,1460
d1-002,12,pre,1410
d1-002,13,pre,1355
d1-002,14,pre,1305
d1-002,15,pre,1335
d1-002,16,pre,1265
d1-002,17,pre,1295
d1-002,18,pre,1330
d1-003,1,post,2445
d1-003,2,post,2420
d1-003,3,post,2420
d1-003,4,post,2410
d1-003,5,post,2590
d1-003,6,post,2400
d1-003,7,post,2045
d1-003,10,post,2565
d1-003,11,post,2520
d1-003,12,post,2470
d1-003,13,post,2565
d1-003,14,post,2550
d1-003,15,post,2380
d1-003,16,post,2585
d1-003,17,post,2560
d1-003,18,post,2500
d1-003,1,pre,4460
d1-003,2,pre,2900
d1-003,3,pre,2500
d1-003,4,pre,2390
d1-003,5,pre,2500
d1-003,6,pre,2435
d1-003,7,pre,2390
d1-003,8,pre,2460
d1-003,9,pre,2585
d1-003,10,pre,2495
d1-003,11,pre,2485
d1-003,12,pre,2475
d1-003,13,pre,2935
d1-003,14,pre,2415
d1-003,15,pre,2480
d1-003,16,pre,2415
d1-003,17,pre,2705
d1-003,18,pre,2450
d1-004,1,post,910
d1-004,2,post,455
d1-004,3,post,585
d1-004,4,post,420
d1-004,5,post,370
d1-004,6,post,370
d1-004,7,post,320
d1-004,8,post,415
d1-004,9,post,415
d1-004,10,post,390
d1-004,11,post,250
d1-004,12,post,435
d1-004,13,post,340
d1-004,14,post,400
d1-004,15,post,205
d1-004,16,post,500
d1-004,17,post,335
d1-004,18,post,475
d1-004,1,pre,1600
d1-004,2,pre,17700
d1-004,3,pre,1660
d1-004,4,pre,1700
d1-004,5,pre,2295
d1-004,6,pre,490
d1-004,7,pre,880
d1-004,8,pre,875
d1-004,9,pre,665
d1-004,10,pre,1150
d1-004,11,pre,440
d1-004,12,pre,1120
d1-004,13,pre,825
d1-004,14,pre,705
d1-004,15,pre,565
d1-004,16,pre,615
d1-004,17,pre,400
d1-004,18,pre,430
d1-005,1,post,565
d1-005,2,post,450
d1-005,3,post,440
d1-005,4,post,450
d1-005,5,post,325
d1-005,6,post,410
d1-005,7,post,400
d1-005,8,post,440
d1-005,9,post,470
d1-005,10,post,440
d1-005,11,post,455
d1-005,12,post,430
d1-005,13,post,550
d1-005,14,post,480
d1-005,15,post,450
d1-005,16,post,480
d1-005,17,post,825
d1-005,18,post,375
d1-005,1,pre,515
d1-005,2,pre,415
d1-005,3,pre,510
d1-005,4,pre,485
d1-005,5,pre,565
d1-005,6,pre,520
d1-005,7,pre,545
d1-005,8,pre,445
d1-005,9,pre,470
d1-005,10,pre,445
d1-005,11,pre,445
d1-005,12,pre,420
d1-005,13,pre,470
d1-005,14,pre,460
d1-005,15,pre,505
d1-005,16,pre,455
d1-005,17,pre,405
d1-005,18,pre,405
d1-006,1,post,270
d1-006,2,post,310
d1-006,3,post,285
d1-006,4,post,240
d1-006,5,post,245
d1-006,6,post,260
d1-006,7,post,145
d1-006,8,post,255
d1-006,9,post,285
d1-006,10,post,205
d1-006,11,post,270
d1-006,12,post,355
d1-006,13,post,270
d1-006,14,post,460
d1-006,15,post,300
d1-006,16,post,100
d1-006,17,post,295
d1-006,18,post,50
d1-006,1,pre,675
d1-006,2,pre,900
d1-006,3,pre,850
d1-006,4,pre,700
d1-006,5,pre,650
d1-006,6,pre,720
d1-006,7,pre,637
d1-006,8,pre,400
d1-006,9,pre,500
d1-006,10,pre,690
d1-006,11,pre,570
d1-006,12,pre,440
d1-006,13,pre,545
d1-006,14,pre,440
d1-006,15,pre,315
d1-006,16,pre,440
d1-006,17,pre,405
d1-006,18,pre,350
d1-007,1,post,375
d1-007,2,post,305
d1-007,3,post,285
d1-007,4,post,325
d1-007,5,post,265
d1-007,6,post,260
d1-007,7,post,310
d1-007,8,post,265
d1-007,9,post,290
d1-007,10,post,355
d1-007,11,post,290
d1-007,12,post,285
d1-007,13,post,285
d1-007,14,post,295
d1-007,15,post,325
d1-007,16,post,230
d1-007,17,post,380
d1-007,18,post,325
d1-007,1,pre,1430
d1-007,2,pre,645
d1-007,3,pre,515
d1-007,4,pre,400
d1-007,5,pre,400
d1-007,6,pre,385
d1-007,7,pre,520
d1-007,8,pre,405
d1-007,9,pre,335
d1-007,10,pre,400
d1-007,11,pre,120
d1-007,12,pre,370
d1-007,13,pre,345
d1-007,14,pre,250
d1-007,15,pre,300
d1-007,16,pre,325
d1-007,17,pre,300
d1-007,18,pre,300
d1-008,1,post,435
d1-008,2,post,365
d1-008,3,post,205
d1-008,4,post,60
d1-008,5,post,275
d1-008,6,post,285
d1-008,7,post,215
d1-008,8,post,224
d1-008,9,post,165
d1-008,10,post,125
d1-008,11,post,315
d1-008,12,post,1800
d1-008,13,post,220
d1-008,14,post,200
d1-008,15,post,215
d1-008,16,post,495
d1-008,17,post,395
d1-008,18,post,200
d1-008,1,pre,510
d1-008,2,pre,310
d1-008,3,pre,310
d1-008,4,pre,445
d1-008,5,pre,235
d1-008,6,pre,350
d1-008,7,pre,290
d1-008,8,pre,200
d1-008,9,pre,315
d1-008,10,pre,275
d1-008,11,pre,405
d1-008,12,pre,340
d1-008,13,pre,380
d1-008,14,pre,340
d1-008,15,pre,295
d1-008,16,pre,225
d1-008,17,pre,275
d1-008,18,pre,360
d1-009,1,post,460
d1-009,2,post,349
d1-009,3,post,360
d1-009,4,post,415
d1-009,5,post,365
d1-009,6,post,582
d1-009,7,post,500
d1-009,8,post,370
d1-009,9,post,525
d1-009,10,post,435
d1-009,11,post,350
d1-009,12,post,350
d1-009,13,post,435
d1-009,14,post,375
d1-009,15,post,410
d1-009,16,post,325
d1-009,17,post,415
d1-009,18,post,475
d1-009,1,pre,810
d1-009,2,pre,685
d1-009,3,pre,320
d1-009,4,pre,335
d1-009,5,pre,335
d1-009,6,pre,540
d1-009,7,pre,440
d1-009,8,pre,470
d1-009,9,pre,320
d1-009,10,pre,315
d1-009,11,pre,280
d1-009,12,pre,300
d1-009,13,pre,200
d1-009,14,pre,305
d1-009,15,pre,285
d1-009,16,pre,300
d1-009,17,pre,330
d1-009,18,pre,325
d1-010,1,post,635
d1-010,2,post,490
d1-010,3,post,500
d1-010,4,post,415
d1-010,5,post,455
d1-010,6,post,405
d1-010,7,post,490
d1-010,8,post,445
d1-010,9,post,500
d1-010,10,post,535
d1-010,11,post,500
d1-010,12,post,530
d1-010,13,post,515
d1-010,14,post,495
d1-010,15,post,485
d1-010,16,post,480
d1-010,17,post,480
d1-010,18,post,440
d1-010,1,pre,700
d1-010,2,pre,800
d1-010,3,pre,510
d1-010,4,pre,700
d1-010,5,pre,550
d1-010,6,pre,545
d1-010,7,pre,790
d1-010,8,pre,625
d1-010,9,pre,675
d1-010,10,pre,760
d1-010,11,pre,600
d1-010,12,pre,615
d1-010,13,pre,515
d1-010,14,pre,600
d1-010,15,pre,655
d1-010,16,pre,650
d1-010,17,pre,450
d1-010,18,pre,480
d1-011,1,post,635
d1-011,2,post,440
d1-011,3,post,360
d1-011,4,post,455
d1-011,5,post,335
d1-011,6,post,405
d1-011,7,post,520
d1-011,8,post,415
d1-011,9,post,375
d1-011,10,post,425
d1-011,11,post,370
d1-011,12,post,335
d1-011,13,post,120
d1-011,14,post,420
d1-011,15,post,395
d1-011,16,post,460
d1-011,17,post,350
d1-011,18,post,425
d1-011,1,pre,1100
d1-011,2,pre,1205
d1-011,3,pre,625
d1-011,4,pre,530
d1-011,5,pre,455
d1-011,6,pre,350
d1-011,7,pre,375
d1-011,8,pre,380
d1-011,9,pre,495
d1-011,10,pre,590
d1-011,11,pre,475
d1-011,12,pre,440
d1-011,13,pre,445
d1-011,14,pre,600
d1-011,15,pre,450
d1-011,16,pre,420
d1-011,17,pre,435
d1-011,18,pre,515
d1-012,1,post,600
d1-012,2,post,385
d1-012,3,post,310
d1-012,4,post,380
d1-012,5,post,350
d1-012,6,post,345
d1-012,7,post,320
d1-012,8,post,340
d1-012,9,post,370
d1-012,10,post,345
d1-012,11,post,455
d1-012,12,post,385
d1-012,13,post,350
d1-012,14,post,370
d1-012,15,post,380
d1-012,16,post,480
d1-012,17,post,350
d1-012,18,post,360
d1-012,1,pre,875
d1-012,2,pre,920
d1-012,3,pre,535
d1-012,4,pre,335
d1-012,5,pre,405
d1-012,6,pre,465
d1-012,7,pre,520
d1-012,8,pre,390
d1-012,9,pre,555
d1-012,10,pre,500
d1-012,11,pre,415
d1-012,12,pre,365
d1-012,13,pre,350
d1-012,14,pre,360
d1-012,15,pre,455
d1-012,16,pre,415
d1-012,17,pre,350
d1-012,18,pre,395
d1-013,1,post,320
d1-013,2,post,535
d1-013,3,post,455
d1-013,4,post,430
d1-013,5,post,450
d1-013,6,post,400
d1-013,7,post,435
d1-013,8,post,435
d1-013,9,post,445
d1-013,10,post,455
d1-013,11,post,420
d1-013,12,post,415
d1-013,13,post,460
d1-013,14,post,465
d1-013,15,post,380
d1-013,16,post,3425
d1-013,17,post,475
d1-013,18,post,410
d1-013,1,pre,635
d1-013,2,pre,755
d1-013,3,pre,390
d1-013,4,pre,1640
d1-013,5,pre,335
d1-013,6,pre,350
d1-013,7,pre,520
d1-013,8,pre,440
d1-013,9,pre,310
d1-013,10,pre,270
d1-013,11,pre,325
d1-013,12,pre,390
d1-013,13,pre,350
d1-013,14,pre,265
d1-013,15,pre,7225
d1-013,16,pre,375
d1-013,17,pre,290
d1-013,18,pre,345
d1-014,1,post,305
d1-014,2,post,340
d1-014,3,post,240
d1-014,4,post,395
d1-014,5,post,420
d1-014,6,post,445
d1-014,7,post,590
d1-014,8,post,375
d1-014,9,post,490
d1-014,10,post,355
d1-014,11,post,12530
d1-014,12,post,330
d1-014,13,post,555
d1-014,14,post,280
d1-014,15,post,400
d1-014,16,post,390
d1-014,17,post,330
d1-014,18,post,350
d1-014,1,pre,650
d1-014,2,pre,340
d1-014,3,pre,570
d1-014,4,pre,620
d1-014,5,pre,445
d1-014,6,pre,380
d1-014,7,pre,340
d1-014,8,pre,280
d1-014,9,pre,340
d1-014,10,pre,255
d1-014,11,pre,395
d1-014,12,pre,300
d1-014,13,pre,285
d1-014,14,pre,285
d1-014,15,pre,300
d1-014,16,pre,305
d1-014,17,pre,435
d1-014,18,pre,235
d1-015,1,post,220
d1-015,2,post,210
d1-015,3,post,330
d1-015,4,post,400
d1-015,5,post,400
d1-015,6,post,445
d1-015,7,post,100
d1-015,8,post,410
d1-015,9,post,385
d1-015,10,post,470
d1-015,11,post,452
d1-015,12,post,510
d1-015,13,post,545
d1-015,14,post,500
d1-015,15,post,345
d1-015,16,post,300
d1-015,17,post,465
d1-015,18,post,485
d1-015,1,pre,500
d1-015,2,pre,700
d1-015,3,pre,650
d1-015,4,pre,325
d1-015,5,pre,200
d1-015,6,pre,1420
d1-015,7,pre,455
d1-015,8,pre,380
d1-015,9,pre,360
d1-015,10,pre,450
d1-015,11,pre,400
d1-015,12,pre,400
d1-015,13,pre,375
d1-015,14,pre,345
d1-015,15,pre,300
d1-015,16,pre,300
d1-015,17,pre,200
d1-015,18,pre,300
d1-016,1,post,245
d1-016,2,post,230
d1-016,3,post,80
d1-016,4,post,150
d1-016,5,post,200
d1-016,6,post,440
d1-016,7,post,585
d1-016,8,post,475
d1-016,9,post,390
d1-016,10,post,530
d1-016,11,post,355
d1-016,12,post,425
d1-016,13,post,395
d1-016,14,post,410
d1-016,15,post,425
d1-016,16,post,480
d1-016,17,post,430
d1-016,18,post,330
d1-016,1,pre,425
d1-016,2,pre,375
d1-016,3,pre,350
d1-016,4,pre,450
d1-016,5,pre,555
d1-016,6,pre,440
d1-016,7,pre,420
d1-016,8,pre,300
d1-016,9,pre,460
d1-016,10,pre,410
d1-016,11,pre,365
d1-016,12,pre,350
d1-016,13,pre,370
d1-016,14,pre,380
d1-016,15,pre,390
d1-016,16,pre,385
d1-016,17,pre,320
d1-016,18,pre,375
d1-017,1,post,740
d1-017,2,post,295
d1-017,3,post,500
d1-017,4,post,455
d1-017,5,post,405
d1-017,6,post,405
d1-017,7,post,355
d1-017,8,post,150
d1-017,9,post,320
d1-017,10,post,345
d1-017,11,post,370
d1-017,12,post,370
d1-017,13,post,295
d1-017,14,post,315
d1-017,15,post,305
d1-017,16,post,300
d1-017,17,post,275
d1-017,18,post,310
d1-017,1,pre,835
d1-017,2,pre,1255
d1-017,3,pre,410
d1-017,4,pre,1395
d1-017,5,pre,390
d1-017,6,pre,495
d1-017,7,pre,405
d1-017,8,pre,355
d1-017,9,pre,430
d1-017,10,pre,325
d1-017,11,pre,295
d1-017,12,pre,295
d1-017,13,pre,305
d1-017,14,pre,310
d1-017,15,pre,360
d1-017,16,pre,305
d1-017,17,pre,310
d1-017,18,pre,320
d1-018,1,post,435
d1-018,2,post,410
d1-018,3,post,510
d1-018,4,post,450
d1-018,5,post,310
d1-018,6,post,500
d1-018,7,post,525
d1-018,8,post,400
d1-018,9,post,470
d1-018,10,post,420
d1-018,11,post,355
d1-018,12,post,355
d1-018,13,post,500
d1-018,14,post,370
d1-018,15,post,520
d1-018,16,post,370
d1-018,17,post,380
d1-018,18,post,310
d1-018,1,pre,625
d1-018,2,pre,650
d1-018,3,pre,550
d1-018,4,pre,735
d1-018,5,pre,815
d1-018,6,pre,515
d1-018,7,pre,520
d1-018,8,pre,605
d1-018,9,pre,450
