ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d3-001,3_avatartooluse,pre,1,1,pre,Forearm,Forearm,0.0609,0.0609,0.3508,Forearm,FALSE
d3-001,3_avatartooluse,pre,1,2,pre,Elbow,Elbow,-0.0148,-0.0148,0.35,Elbow,FALSE
d3-001,3_avatartooluse,pre,1,3,pre,Wrist,Wrist,-0.0346,-0.0346,0.3497,Wrist,FALSE
d3-001,3_avatartooluse,pre,1,4,pre,Elbow,Elbow,0.01,0.01,0.3492,Elbow,FALSE
d3-001,3_avatartooluse,pre,1,5,pre,Wrist,Wrist,-0.0356,-0.0356,0.3491,Wrist,FALSE
d3-001,3_avatartooluse,pre,1,6,pre,Forearm,Forearm,-0.0223,-0.0223,0.3494,Forearm,FALSE
d3-001,3_avatartooluse,pre,1,7,pre,Wrist,Wrist,-0.018,-0.018,0.349,Wrist,FALSE
d3-001,3_avatartooluse,pre,1,8,pre,Forearm,Forearm,-0.0239,-0.0239,0.3488,Forearm,FALSE
d3-001,3_avatartooluse,pre,1,9,pre,Elbow,Elbow,0.0351,0.0351,0.3486,Elbow,FALSE
d3-001,3_avatartooluse,pre,1,10,pre,Forearm,Forearm,-0.0607,-0.0607,0.3495,Forearm,FALSE
d3-001,3_avatartooluse,pre,1,11,pre,Wrist,Wrist,-0.0508,-0.0508,0.3486,Wrist,FALSE
d3-001,3_avatartooluse,pre,1,12,pre,Elbow,Elbow,-0.0191,-0.0191,0.3485,Elbow,FALSE
d3-001,3_avatartooluse,pre,1,13,pre,Wrist,Wrist,-0.1215,-0.1215,0.3488,Forearm,FALSE
d3-001,3_avatartooluse,pre,1,14,pre,Elbow,Elbow,-0.0252,-0.0252,0.3491,Elbow,FALSE
d3-001,3_avatartooluse,pre,1,15,pre,Forearm,Forearm,-0.0625,-0.0625,0.349,Forearm,FALSE
d3-001,3_avatartooluse,pre,1,16,pre,Wrist,Wrist,-0.0865,-0.0865,0.3488,Forearm,FALSE
d3-001,3_avatartooluse,pre,1,17,pre,Elbow,Elbow,-0.0281,-0.0281,0.3489,Elbow,FALSE
d3-001,3_avatartooluse,pre,1,18,pre,Forearm,Forearm,-0.0788,-0.0788,0.3491,Forearm,FALSE
d3-001,3_avatartooluse,second,5,1,post,Forearm,Forearm,-0.0641,-0.0641,0.3485,Forearm,FALSE
d3-001,3_avatartooluse,second,5,2,post,Elbow,Elbow,-0.0158,-0.0158,0.3475,Elbow,FALSE
d3-001,3_avatartooluse,second,5,3,post,Wrist,Wrist,-0.0383,-0.0383,0.3478,Wrist,FALSE
d3-001,3_avatartooluse,second,5,4,post,Elbow,Elbow,-0.0371,-0.0371,0.3474,Elbow,FALSE
d3-001,3_avatartooluse,second,5,5,post,Wrist,Wrist,-0.0805,-0.0805,0.3477,Wrist,FALSE
d3-001,3_avatartooluse,second,5,6,post,Forearm,Forearm,-0.0479,-0.0479,0.3475,Forearm,FALSE
d3-001,3_avatartooluse,second,5,7,post,Wrist,Wrist,-0.1034,-0.1034,0.3472,Forearm,FALSE
d3-001,3_avatartooluse,second,5,8,post,Forearm,Forearm,-0.0797,-0.0797,0.3473,Forearm,FALSE
d3-001,3_avatartooluse,second,5,9,post,Elbow,Elbow,-0.0543,-0.0543,0.3475,Elbow,FALSE
d3-001,3_avatartooluse,second,5,10,post,Forearm,Forearm,-0.0881,-0.0881,0.3476,Elbow,FALSE
d3-001,3_avatartooluse,second,5,11,post,Elbow,Elbow,-0.0649,-0.0649,0.3483,Elbow,FALSE
d3-001,3_avatartooluse,second,5,12,post,Wrist,Wrist,-0.0673,-0.0673,0.348,Wrist,FALSE
d3-001,3_avatartooluse,second,5,13,post,Forearm,Forearm,-0.118,-0.118,0.3484,Elbow,FALSE
d3-001,3_avatartooluse,second,5,14,post,Wrist,Wrist,-0.1248,-0.1248,0.3483,Forearm,FALSE
d3-001,3_avatartooluse,second,5,15,post,Elbow,Elbow,-0.0818,-0.0818,0.3486,Elbow,FALSE
d3-001,3_avatartooluse,second,5,16,post,Forearm,Forearm,-0.1228,-0.1228,0.3484,Elbow,FALSE
d3-001,3_avatartooluse,second,5,17,post,Elbow,Elbow,-0.0695,-0.0695,0.3485,Elbow,FALSE
d3-001,3_avatartooluse,second,5,18,post,Wrist,Wrist,-0.0842,-0.0842,0.3486,Wrist,FALSE
d3-002,3_avatartooluse,pre,1,1,pre,Wrist,Wrist,0.0501,0.0501,0.3585,Wrist,FALSE
d3-002,3_avatartooluse,pre,1,2,pre,Elbow,Elbow,0.0586,0.0586,0.3627,Elbow,FALSE
d3-002,3_avatartooluse,pre,1,3,pre,Forearm,Wrist,0.1861,0.00570000000000004,0.3625,Wrist,TRUE
d3-002,3_avatartooluse,pre,1,4,pre,Elbow,Elbow,0.0627,0.0627,0.3627,Elbow,FALSE
