ppid,time,armlength,perceived,veridical,ratio
d3-001,Pre,34,0.294416666666667,0.344916666666667,85
d3-001,Post,34,0.315383333333333,0.344588888888889,92
d3-002,Pre,34,0.354416666666667,0.362488888888889,98
d3-002,Post,34,0.40075,0.319672222222222,125
d3-003,Pre,34,0.248816666666667,0.3429,73
d3-003,Post,34,0.21525,0.338938888888889,64
d3-004,Pre,30,0.24495,0.311383333333333,79
d3-004,Post,30,0.196966666666667,0.295672222222222,67
d3-005,Pre,27,0.19755,0.270711111111111,73
d3-005,Post,27,0.245216666666667,0.277722222222222,88
d3-007,Pre,26,0.379216666666667,0.252822222222222,150
d3-007,Post,26,0.2689,0.263972222222222,102
d3-008,Pre,26,0.378466666666667,0.262594444444444,144
d3-008,Post,26,0.254166666666667,0.256705555555556,99
d3-009,Pre,26,0.243,0.2556,95
d3-009,Post,26,0.261383333333333,0.25735,102
d3-010,Pre,27,0.270866666666667,0.271538888888889,100
d3-010,Post,27,0.274916666666667,0.26865,102
d3-011,Pre,25,0.290066666666667,0.24825,117
d3-011,Post,25,0.332666666666667,0.253194444444445,131
d3-012,Pre,26,0.231066666666667,0.255211111111111,91
d3-012,Post,26,0.324533333333333,0.256316666666667,127
d3-013,Pre,24,0.288966666666667,0.238122222222222,121
d3-013,Post,24,0.2866,0.2329,123
d3-014,Pre,22,0.305433333333333,0.223705555555556,137
d3-014,Post,22,0.27175,0.218338888888889,124
d3-015,Pre,23,0.30495,0.219638888888889,139
d3-015,Post,23,0.311583333333333,0.242677777777778,128
d3-016,Pre,25,0.210983333333333,0.255544444444444,83
d3-016,Post,25,0.345783333333333,0.251161111111111,138
d3-017,Pre,25,0.252833333333333,0.245916666666667,103
d3-017,Post,25,0.24725,0.244305555555556,101
d3-018,Pre,22,0.23765,0.224766666666667,106
d3-018,Post,22,0.220933333333333,0.218816666666667,101
d3-019,Pre,23,0.364216666666667,0.22625,161
d3-019,Post,23,0.332883333333333,0.224788888888889,148
d3-020,Pre,26,0.28755,0.257561111111111,112
d3-020,Post,26,0.264316666666667,0.262755555555556,101
d3-021,Pre,23,0.2226,0.22485,99
d3-021,Post,23,0.2722,0.226,120
d3-022,Pre,29,0.314933333333333,0.282327777777778,112
d3-022,Post,29,0.29675,0.287688888888889,103
d3-023,Pre,23,0.3703,0.234511111111111,158
d3-023,Post,23,0.398416666666667,0.231722222222222,172
d3-024,Pre,25,0.281216666666667,0.249877777777778,113
d3-024,Post,25,0.24265,0.252788888888889,96
