ppid,experiment,participant,trial,block,wpos_x,wpos_y,wpos_z,epos_x,epos_y,epos_z,fpos_x,fpos_y,fpos_z,spos_x,spos_y,spos_z,target,error,forearmlength,perceivedforearmlength,perceivedforearmlengthratio,noisewrist,noiseelbow,startposition,direction,speed,trialtime,time,order,closest_to,error_closest_to,lapse,lapse_fix_target,lapse_fix_error
d3-001,3_avatartooluse,d3-001,1,1,0.2321,0.7382,-0.5066,0.2194,0.7904,-0.8533,0.2258,0.7643,-0.68,0.227,0.7382,-0.6191,Forearm,0.0609,0.3508,0,0,0.138,0.1388,-0.9158,backward,0.289322,5.2643,pre,pre,Forearm,0.0609000000000001,FALSE,Forearm,0.0609
d3-001,3_avatartooluse,d3-001,2,1,0.2319,0.7383,-0.507,0.2187,0.7902,-0.8528,0.2253,0.7642,-0.6799,0.222,0.7383,-0.8672,Elbow,-0.0148,0.35,0,0,0.1395,0.1853,-0.6798,backward,0.255602,1.091,pre,pre,Elbow,-0.0144,FALSE,Elbow,-0.0148
d3-001,3_avatartooluse,d3-001,3,1,0.2323,0.7385,-0.5065,0.2176,0.7899,-0.8521,0.225,0.7642,-0.6793,0.2278,0.7385,-0.5408,Wrist,-0.0346,0.3497,0,0,0.1922,0.1943,-0.7922,forward,0.270031,3.8448,pre,pre,Wrist,-0.0343,FALSE,Wrist,-0.0346
d3-001,3_avatartooluse,d3-001,4,1,0.2334,0.7386,-0.5067,0.2174,0.7907,-0.8516,0.2254,0.7647,-0.6791,0.2214,0.7386,-0.8424,Elbow,0.01,0.3492,0,0,0.1601,0.1554,-0.8527,backward,0.275329,7.2081,pre,pre,Elbow,0.00919999999999999,FALSE,Elbow,0.01
d3-001,3_avatartooluse,d3-001,5,1,0.2333,0.7385,-0.507,0.2173,0.7907,-0.8519,0.2253,0.7646,-0.6795,0.229,0.7385,-0.5424,Wrist,-0.0356,0.3491,0,0,0.1417,0.1817,-0.4588,forward,0.275711,5.7862,pre,pre,Wrist,-0.0354,FALSE,Wrist,-0.0356
d3-001,3_avatartooluse,d3-001,6,1,0.2328,0.7386,-0.5072,0.2166,0.7905,-0.8524,0.2247,0.7646,-0.6798,0.2239,0.7386,-0.7021,Forearm,-0.0223,0.3494,0,0,0.2293,0.203,-0.6331,backward,0.26878,3.7313,pre,pre,Forearm,-0.0223,FALSE,Forearm,-0.0223
d3-001,3_avatartooluse,d3-001,7,1,0.2333,0.7389,-0.5071,0.2164,0.7907,-0.8519,0.2248,0.7648,-0.6795,0.2277,0.7389,-0.5242,Wrist,-0.018,0.349,0,0,0.2188,0.1583,-0.8222,forward,0.25306,1.6326,pre,pre,Wrist,-0.0171,FALSE,Wrist,-0.018
d3-001,3_avatartooluse,d3-001,8,1,0.2338,0.7387,-0.5074,0.2165,0.7903,-0.8519,0.2251,0.7645,-0.6796,0.2248,0.7387,-0.7035,Forearm,-0.0239,0.3488,0,0,0.1498,0.1743,-0.3703,backward,0.262387,1.8992,pre,pre,Forearm,-0.0239,FALSE,Forearm,-0.0239
d3-001,3_avatartooluse,d3-001,9,1,0.2336,0.7381,-0.5072,0.2151,0.7897,-0.8515,0.2244,0.7639,-0.6794,0.2211,0.7381,-0.817,Elbow,0.0351,0.3486,0,0,0.2324,0.2241,-0.8685,backward,0.269397,5.2643,pre,pre,Elbow,0.0345000000000001,FALSE,Elbow,0.0351
d3-001,3_avatartooluse,d3-001,10,1,0.2339,0.7382,-0.5068,0.2149,0.7899,-0.8519,0.2244,0.7641,-0.6793,0.2223,0.7382,-0.74,Forearm,-0.0607,0.3495,0,0,0.1911,0.1584,-0.5006,backward,0.269405,3.2548,pre,pre,Forearm,-0.0607,FALSE,Forearm,-0.0607
d3-001,3_avatartooluse,d3-001,11,1,0.2337,0.7384,-0.5074,0.2148,0.7898,-0.8517,0.2243,0.7641,-0.6796,0.2264,0.7384,-0.5577,Wrist,-0.0508,0.3486,0,0,0.2349,0.1574,-0.6311,forward,0.299768,3.7562,pre,pre,Wrist,-0.0503,FALSE,Wrist,-0.0508
d3-001,3_avatartooluse,d3-001,12,1,0.2336,0.7382,-0.5076,0.2144,0.7892,-0.8518,0.224,0.7637,-0.6797,0.2182,0.7382,-0.8705,Elbow,-0.0191,0.3485,0,0,0.1351,0.1413,-0.7054,backward,0.283644,4.72,pre,pre,Elbow,-0.0187000000000001,FALSE,Elbow,-0.0191
d3-001,3_avatartooluse,d3-001,13,1,0.2338,0.7382,-0.5075,0.2147,0.7892,-0.852,0.2243,0.7637,-0.6797,0.2248,0.7382,-0.6287,Wrist,-0.1215,0.3488,0,0,0.2266,0.1648,-0.3221,backward,0.264279,2.0005,pre,pre,Forearm,0.0509999999999999,FALSE,Wrist,-0.1215
d3-001,3_avatartooluse,d3-001,14,1,0.2337,0.7379,-0.5074,0.2145,0.7892,-0.8522,0.2241,0.7636,-0.6798,0.2188,0.7379,-0.8771,Elbow,-0.0252,0.3491,0,0,0.2238,0.1949,-0.5449,backward,0.293077,3.8202,pre,pre,Elbow,-0.0249,FALSE,Elbow,-0.0252
d3-001,3_avatartooluse,d3-001,15,1,0.2337,0.7379,-0.5074,0.2145,0.7886,-0.8522,0.2241,0.7633,-0.6798,0.2232,0.7379,-0.7423,Forearm,-0.0625,0.349,0,0,0.1828,0.2361,-0.7373,forward,0.298538,3.0575,pre,pre,Forearm,-0.0625,FALSE,Forearm,-0.0625
