ppid,trial_num_in_block,order,time,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d3-001,1,first,post,927.552509019773,295,6024.7791306677,-3302.19438603312,150,480
d3-001,2,first,post,1160.15003874568,325,7003.21613664701,-4720.46422463306,155,460
d3-001,3,first,post,1227.40717325782,295,7681.39920440107,-5062.9040379387,210,430
d3-001,4,first,post,1237.22137984752,305,7432.79697789575,-5536.40199370995,140,435
d3-001,5,first,post,1079.35316874134,290,7844.02612830498,-3976.67496323644,135,445
d3-001,6,first,post,1321.65091835751,300,7888.08792843423,-5846.52162094032,160,445
d3-001,7,first,post,1151.36094275773,300,7081.27155898609,-5199.07675849826,160,450
d3-001,8,first,post,1204.6900529617,280,7969.77877356666,-4622.16953629938,165,490
d3-001,9,first,post,1189.54988703809,320,8266.30525832905,-6418.62688249223,180,485
d3-001,10,first,post,1189.63361344124,280,8793.59527388937,-5783.21638426792,155,390
d3-001,11,first,post,1213.85988069075,295,7872.44687450461,-4996.20326130889,175,445
d3-001,12,first,post,1127.94266485357,345,6455.76110413165,-5028.71069058583,160,455
d3-001,13,first,post,1248.52566638089,345,9038.37286128301,-6263.95662239025,180,435
d3-001,14,first,post,1210.0473107741,285,9331.93600689934,-6174.5147241387,145,420
d3-001,15,first,post,1193.13396723963,255,8963.24739662076,-5736.5340162429,170,470
d3-001,16,first,post,1095.80007172628,295,7100.55424523786,-5066.20196963346,145,435
d3-001,17,first,post,1176.68372720037,295,8138.54102420449,-5963.4868877414,150,450
d3-001,18,first,post,1130.6745074717,230,8750.86259828593,-4979.77738120367,120,450
d3-001,1,pre,pre,1277.12838527675,375,4944.47738250188,-6429.63917788147,140,575
d3-001,2,pre,pre,1019.3081479113,445,4132.13094509543,-3995.41361811701,335,770
d3-001,3,pre,pre,1182.67414270645,340,8168.5353759307,-4620.34486837768,125,410
d3-001,4,pre,pre,1208.58241299984,290,7874.44514859636,-4702.29716842705,125,380
d3-001,5,pre,pre,1289.53170373529,280,8071.81860409802,-4220.11443424312,130,425
d3-001,6,pre,pre,1220.25783894685,305,8108.72198094054,-5834.27469831777,130,445
d3-001,7,pre,pre,1284.2266128248,305,7078.5683805624,-5405.26691551577,175,445
d3-001,8,pre,pre,1312.42691618303,310,6691.10680338995,-6082.25911545267,215,475
d3-001,9,pre,pre,1249.82618262321,305,7514.18614056663,-5254.45369202933,140,415
d3-001,10,pre,pre,1255.42191528338,265,8821.94521941783,-5823.8944021576,155,480
d3-001,11,pre,pre,1273.43831933011,320,8487.35807522728,-6369.64408951467,175,445
d3-001,12,pre,pre,1194.29657812815,275,8450.44981349756,-5273.03787519956,165,455
d3-001,13,pre,pre,1310.16160450116,285,9189.75843840052,-5462.21505854291,155,385
d3-001,14,pre,pre,1258.23699825846,320,7816.45297795816,-4643.23783113403,195,360
d3-001,15,pre,pre,1254.91331961084,310,7908.80538683388,-5364.48220260995,170,410
