ppid,trial_num_in_block,time,start_time,ovr_start_time,combined_start_time
d3-006,1,post,1055,1060,1060
d3-006,2,post,780,785,785
d3-006,3,post,520,435,440
d3-006,4,post,625,620,625
d3-006,5,post,630,620,625
d3-006,6,post,585,580,585
d3-006,7,post,720,720,720
d3-006,8,post,560,530,550
d3-006,9,post,530,530,530
d3-006,10,post,430,430,430
d3-006,11,post,295,285,290
d3-006,12,post,250,250,250
d3-006,13,post,365,365,365
d3-006,14,post,500,485,495
d3-006,15,post,515,455,500
d3-006,16,post,380,375,375
d3-006,17,post,725,720,720
d3-006,18,post,710,680,695
d3-006,1,pre,2460,2460,2460
d3-006,2,pre,9850,9850,9850
d3-006,3,pre,1025,1015,1020
d3-006,4,pre,1330,1295,1305
d3-006,5,pre,1095,1105,1100
d3-006,6,pre,830,815,820
d3-006,7,pre,510,495,500
d3-006,8,pre,1080,1070,1075
d3-006,9,pre,645,610,630
d3-006,10,pre,410,415,410
d3-006,11,pre,1045,670,1025
d3-006,12,pre,920,895,905
d3-006,13,pre,990,985,985
d3-006,14,pre,930,930,930
d3-006,15,pre,460,460,460
d3-006,16,pre,765,775,770
d3-006,17,pre,1055,1060,1060
d3-006,18,pre,840,830,830
d3-007,1,post,460,465,465
d3-007,2,post,520,510,515
d3-007,3,post,395,395,395
d3-007,4,post,450,450,450
d3-007,5,post,395,395,395
d3-007,6,post,400,405,400
d3-007,7,post,405,405,405
d3-007,8,post,425,425,425
d3-007,9,post,370,370,370
d3-007,10,post,485,480,480
d3-007,11,post,495,495,495
d3-007,12,post,400,400,400
d3-007,13,post,440,440,440
d3-007,14,post,445,460,455
d3-007,15,post,430,435,435
d3-007,16,post,390,390,390
d3-007,17,post,450,455,450
d3-007,18,post,445,445,445
d3-007,1,pre,1940,1895,1900
d3-007,2,pre,860,830,840
d3-007,3,pre,650,645,645
d3-007,4,pre,630,625,625
d3-007,5,pre,670,670,670
d3-007,6,pre,795,775,785
d3-007,7,pre,695,670,675
d3-007,8,pre,530,510,515
d3-007,9,pre,500,510,505
d3-007,10,pre,505,485,495
d3-007,11,pre,520,510,510
d3-007,12,pre,665,660,665
d3-007,13,pre,495,480,485
d3-007,14,pre,480,460,470
d3-007,15,pre,415,405,410
d3-007,16,pre,545,530,535
d3-007,17,pre,560,490,505
d3-007,18,pre,755,685,755
d3-012,1,post,805,805,805
d3-012,2,post,1040,1010,1020
d3-012,3,post,435,430,435
d3-012,4,post,420,415,415
d3-012,5,post,465,465,465
d3-012,6,post,1495,1470,1480
d3-012,7,post,555,405,550
d3-012,8,post,410,380,390
d3-012,9,post,550,40,540
d3-012,10,post,520,495,505
d3-012,11,post,430,430,430
d3-012,12,post,480,485,485
d3-012,13,post,325,315,320
d3-012,14,post,325,300,320
d3-012,15,post,405,395,400
d3-012,16,post,480,490,485
d3-012,17,post,460,465,460
d3-012,18,post,430,450,440
d3-012,1,pre,1500,1515,1505
d3-012,2,pre,925,920,920
d3-012,3,pre,515,520,520
d3-012,4,pre,790,790,790
d3-012,5,pre,1485,1480,1485
d3-012,6,pre,6375,6360,6370
d3-012,7,pre,615,590,605
d3-012,8,pre,490,480,485
d3-012,9,pre,610,590,595
d3-012,10,pre,620,550,630
d3-012,11,pre,725,725,725
d3-012,12,pre,510,475,510
d3-012,13,pre,500,485,490
d3-012,14,pre,555,535,540
d3-012,15,pre,500,510,505
d3-012,16,pre,915,915,915
d3-012,17,pre,865,830,840
d3-012,18,pre,510,505,510
d3-024,1,post,345,345,345
d3-024,2,post,290,290,290
d3-024,3,post,310,315,315
d3-024,4,post,385,400,390
d3-024,5,post,355,350,350
d3-024,6,post,300,300,300
d3-024,7,post,390,380,385
d3-024,8,post,260,265,265
d3-024,9,post,275,275,275
d3-024,10,post,290,275,285
d3-024,11,post,365,360,360
d3-024,12,post,425,425,425
d3-024,13,post,400,405,400
d3-024,14,post,350,350,350
d3-024,15,post,460,455,460
d3-024,16,post,245,230,240
d3-024,17,post,310,310,310
d3-024,18,post,250,245,245
d3-024,1,pre,490,485,485
d3-024,2,pre,380,370,375
d3-024,3,pre,410,405,405
d3-024,4,pre,475,480,480
d3-024,5,pre,445,445,445
d3-024,6,pre,495,495,495
d3-024,7,pre,430,420,425
d3-024,8,pre,530,535,535
d3-024,9,pre,445,450,450
d3-024,10,pre,345,345,345
d3-024,11,pre,410,400,405
d3-024,12,pre,370,375,370
d3-024,13,pre,375,380,375
d3-024,14,pre,385,385,385
d3-024,15,pre,350,355,355
d3-024,16,pre,295,285,290
d3-024,17,pre,400,385,395
d3-024,18,pre,395,380,385
