ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d2-001,2_toolusenotinVR,pre,1,1,pre,Elbow,Elbow,-0.0447,-0.0447,0.2279,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,2,pre,Forearm,Forearm,-0.0372,-0.0372,0.2273,Forearm,FALSE
d2-001,2_toolusenotinVR,pre,1,3,pre,Wrist,Wrist,0.0607,0.0607,0.2269,Wrist,FALSE
d2-001,2_toolusenotinVR,pre,1,4,pre,Elbow,Elbow,-0.0906,-0.0906,0.2269,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,5,pre,Forearm,Forearm,-0.026,-0.026,0.2265,Forearm,FALSE
d2-001,2_toolusenotinVR,pre,1,6,pre,Wrist,Wrist,-0.0291,-0.0291,0.2264,Wrist,FALSE
d2-001,2_toolusenotinVR,pre,1,7,pre,Elbow,Elbow,-0.1418,-0.1418,0.2266,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,8,pre,Wrist,Wrist,-0.0287,-0.0287,0.2263,Wrist,FALSE
d2-001,2_toolusenotinVR,pre,1,9,pre,Elbow,Elbow,-0.1879,-0.1879,0.2264,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,10,pre,Forearm,Forearm,-0.0622,-0.0622,0.2272,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,11,pre,Wrist,Wrist,-0.01,-0.01,0.2276,Wrist,FALSE
d2-001,2_toolusenotinVR,pre,1,12,pre,Elbow,Elbow,-0.1759,-0.1759,0.228,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,13,pre,Wrist,Wrist,-0.0171,-0.0171,0.2287,Wrist,FALSE
d2-001,2_toolusenotinVR,pre,1,14,pre,Forearm,Forearm,-0.0705,-0.0705,0.2287,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,15,pre,Wrist,Wrist,-0.0043,-0.0043,0.2291,Wrist,FALSE
d2-001,2_toolusenotinVR,pre,1,16,pre,Forearm,Forearm,0.0045,0.0045,0.2294,Forearm,FALSE
d2-001,2_toolusenotinVR,pre,1,17,pre,Elbow,Elbow,-0.2133,-0.2133,0.2297,Elbow,FALSE
d2-001,2_toolusenotinVR,pre,1,18,pre,Forearm,Elbow,-0.1155,-0.00229999999999997,0.2297,Elbow,TRUE
d2-001,2_toolusenotinVR,second,5,1,post,Wrist,Wrist,-0.0178,-0.0178,0.232,Wrist,FALSE
d2-001,2_toolusenotinVR,second,5,2,post,Forearm,Forearm,-0.0238,-0.0238,0.2322,Forearm,FALSE
d2-001,2_toolusenotinVR,second,5,3,post,Wrist,Elbow,-0.2821,-0.0529000000000001,0.2324,Elbow,TRUE
d2-001,2_toolusenotinVR,second,5,4,post,Elbow,Elbow,-0.1167,-0.1167,0.2329,Elbow,FALSE
d2-001,2_toolusenotinVR,second,5,5,post,Forearm,Forearm,-2e-04,-2e-04,0.2331,Forearm,FALSE
d2-001,2_toolusenotinVR,second,5,6,post,Elbow,Elbow,-0.1367,-0.1367,0.2331,Elbow,FALSE
d2-001,2_toolusenotinVR,second,5,7,post,Wrist,Wrist,-0.0803,-0.0803,0.2329,Forearm,FALSE
d2-001,2_toolusenotinVR,second,5,8,post,Forearm,Forearm,0.0576,0.0576,0.2331,Wrist,FALSE
d2-001,2_toolusenotinVR,second,5,9,post,Elbow,Elbow,-0.0877,-0.0877,0.2329,Elbow,FALSE
d2-001,2_toolusenotinVR,second,5,10,post,Wrist,Wrist,0.0431,0.0431,0.2331,Wrist,FALSE
d2-001,2_toolusenotinVR,second,5,11,post,Forearm,Elbow,-0.1258,-0.0108,0.233,Elbow,TRUE
