ppid,time,armlength,perceived,veridical,ratio
d2-001,Pre,23,0.342269047619048,0.224722222222222,152
d2-001,Post,23,0.3090225,0.229877777777778,134
d2-002,Pre,22,0.265157142857143,0.225283333333333,118
d2-002,Post,22,0.244383333333333,0.224472222222222,109
d2-003,Pre,24,0.229916666666667,0.245038888888889,94
d2-003,Post,24,0.267716666666667,0.242472222222222,110
d2-004,Pre,21,0.24549,0.212938888888889,115
d2-004,Post,21,0.275185714285714,0.208877777777778,132
d2-005,Pre,22,0.189180952380952,0.2207,86
d2-005,Post,22,0.20865,0.219133333333333,95
d2-006,Pre,24,0.401154166666667,0.237016666666667,169
d2-006,Post,24,0.2773,0.237216666666667,117
d2-007,Pre,24,0.2166,0.236222222222222,92
d2-007,Post,24,0.210616666666667,0.239605555555556,88
d2-008,Pre,23,0.2499375,0.2268,110
d2-008,Post,23,0.265516666666667,0.224544444444444,118
d2-009,Pre,24,0.2718,0.252805555555556,108
d2-009,Post,24,0.264354285714286,0.226961111111111,116
d2-010,Pre,20,0.289616666666667,0.196433333333333,147
d2-010,Post,20,0.29219,0.19855,147
d2-011,Pre,21,0.273548571428571,0.210977777777778,130
d2-011,Post,21,0.241045714285714,0.216194444444445,111
d2-012,Pre,23,0.191783333333333,0.224922222222222,85
d2-012,Post,23,0.189633333333333,0.228861111111111,83
d2-013,Pre,25,0.305333333333333,0.258977777777778,118
d2-013,Post,25,0.17625,0.242294444444445,73
d2-014,Pre,24,0.230266666666667,0.243005555555556,95
d2-014,Post,24,0.223916666666667,0.245322222222222,91
d2-015,Pre,19,0.36855,0.196222222222222,188
d2-015,Post,19,0.3429,0.192227777777778,178
d2-016,Pre,17,0.195722222222222,0.169294444444444,116
d2-016,Post,17,0.194780555555555,0.178055555555556,109
d2-017,Pre,22,0.315366666666667,0.221227777777778,143
d2-017,Post,22,0.302983333333333,0.221444444444444,137
d2-018,Pre,22,0.31465,0.222672222222222,141
d2-018,Post,22,0.321566666666667,0.226172222222222,142
d2-019,Pre,22,0.200367857142857,0.220277777777778,91
d2-019,Post,22,0.222976666666667,0.2231,100
d2-020,Pre,19,0.178033333333333,0.191783333333333,93
d2-020,Post,19,0.221066666666667,0.194188888888889,114
d2-021,Pre,29,0.247083333333333,0.279477777777778,88
d2-021,Post,29,0.2262,0.307455555555555,74
d2-022,Pre,22,0.20525,0.219888888888889,93
d2-022,Post,22,0.22995,0.216988888888889,106
d2-023,Pre,18,0.235621428571429,0.180155555555556,131
d2-023,Post,18,0.180978571428572,0.185272222222222,98
d2-024,Pre,22,0.264047619047619,0.218705555555556,121
d2-024,Post,22,0.28535,0.225833333333333,126
d2-025,Pre,17,0.199094285714286,0.175283333333333,114
d2-025,Post,17,0.20075,0.171905555555556,117
