ppid,experiment,participant,trial,block,wpos_x,wpos_y,wpos_z,epos_x,epos_y,epos_z,fpos_x,fpos_y,fpos_z,spos_x,spos_y,spos_z,target,error,forearmlength,noisewrist,noiseelbow,startposition,direction,trialtime,speed,time,order,closest_to,error_closest_to,lapse,lapse_fix_target,lapse_fix_error
d2-001,2_toolusenotinVR,201,1,1,0.2443,0.7847,-0.5675,0.2511,0.8207,-0.7924,0.2477,0.8027,-0.68,0.2491,0.7647,-0.8371,Elbow,-0.0447,0.2279,0.1889,0.2625,0.5093164,backward,3.9211,,pre,pre,Elbow,-0.0447,FALSE,Elbow,-0.0447
d2-001,2_toolusenotinVR,201,2,1,0.2407,0.7852,-0.5683,0.2497,0.8203,-0.7926,0.2452,0.8027,-0.6805,0.2452,0.7652,-0.7176,Forearm,-0.0372,0.2273,0.2611,0.2317,0.5372446,backward,3.5314,,pre,pre,Forearm,-0.0371,FALSE,Forearm,-0.0372
d2-001,2_toolusenotinVR,201,3,1,0.24,0.7853,-0.5686,0.2501,0.8202,-0.7926,0.245,0.8027,-0.6806,0.2428,0.7653,-0.5079,Wrist,0.0607,0.2269,0.2656,0.1833,1.672539,forward,4.022,,pre,pre,Wrist,0.0607,FALSE,Wrist,0.0607
d2-001,2_toolusenotinVR,201,4,1,0.239,0.7859,-0.5687,0.2507,0.8201,-0.7927,0.2449,0.803,-0.6807,0.2491,0.7659,-0.8833,Elbow,-0.0906,0.2269,0.2436,0.2885,0.6261798,backward,5.098,,pre,pre,Elbow,-0.0906,FALSE,Elbow,-0.0906
d2-001,2_toolusenotinVR,201,5,1,0.2382,0.7863,-0.569,0.2514,0.8196,-0.7926,0.2448,0.803,-0.6808,0.2448,0.7663,-0.7069,Forearm,-0.026,0.2265,0.236,0.1981,1.006522,forward,5.1526,,pre,pre,Forearm,-0.0261,FALSE,Forearm,-0.026
d2-001,2_toolusenotinVR,201,6,1,0.2376,0.7863,-0.5691,0.2518,0.8196,-0.7926,0.2447,0.8029,-0.6808,0.2433,0.7663,-0.5982,Wrist,-0.0291,0.2264,0.2197,0.2585,1.341074,forward,3.7427,,pre,pre,Wrist,-0.0290999999999999,FALSE,Wrist,-0.0291
d2-001,2_toolusenotinVR,201,7,1,0.2373,0.7866,-0.5691,0.2512,0.8197,-0.7928,0.2443,0.8032,-0.681,0.2489,0.7666,-0.9346,Elbow,-0.1418,0.2266,0.1785,0.1862,1.065392,backward,6.5297,,pre,pre,Elbow,-0.1418,FALSE,Elbow,-0.1418
d2-001,2_toolusenotinVR,201,8,1,0.2365,0.7868,-0.5692,0.2519,0.8196,-0.7927,0.2442,0.8032,-0.681,0.2419,0.7668,-0.5979,Wrist,-0.0287,0.2263,0.2687,0.2939,1.425223,forward,4.054,,pre,pre,Wrist,-0.0287,FALSE,Wrist,-0.0287
d2-001,2_toolusenotinVR,201,9,1,0.2373,0.7864,-0.5692,0.2517,0.8196,-0.7927,0.2445,0.803,-0.681,0.2498,0.7664,-0.9806,Elbow,-0.1879,0.2264,0.2191,0.2581,0.4512714,backward,4.2423,,pre,pre,Elbow,-0.1879,FALSE,Elbow,-0.1879
d2-001,2_toolusenotinVR,201,10,1,0.2399,0.7852,-0.5689,0.2504,0.82,-0.7931,0.2451,0.8026,-0.681,0.2458,0.7652,-0.7432,Forearm,-0.0622,0.2272,0.212,0.2203,0.6135374,backward,5.6526,,pre,pre,Elbow,0.0499000000000001,FALSE,Forearm,-0.0622
d2-001,2_toolusenotinVR,201,11,1,0.2418,0.7845,-0.5684,0.2502,0.8199,-0.793,0.246,0.8022,-0.6807,0.2446,0.7645,-0.5784,Wrist,-0.01,0.2276,0.2115,0.236,0.8210134,forward,3.2324,,pre,pre,Wrist,-0.01,FALSE,Wrist,-0.01
d2-001,2_toolusenotinVR,201,12,1,0.2433,0.7836,-0.5682,0.2498,0.82,-0.7932,0.2465,0.8018,-0.6807,0.2492,0.7636,-0.9691,Elbow,-0.1759,0.228,0.1924,0.1792,0.3487778,backward,6.2078,,pre,pre,Elbow,-0.1759,FALSE,Elbow,-0.1759
d2-001,2_toolusenotinVR,201,13,1,0.2447,0.7831,-0.5677,0.2497,0.8201,-0.7933,0.2472,0.8016,-0.6805,0.2465,0.7631,-0.5848,Wrist,-0.0171,0.2287,0.2303,0.2061,0.8246691,forward,5.6531,,pre,pre,Wrist,-0.0171,FALSE,Wrist,-0.0171
d2-001,2_toolusenotinVR,201,14,1,0.2445,0.7827,-0.568,0.2478,0.82,-0.7937,0.2462,0.8013,-0.6808,0.2466,0.7627,-0.7514,Forearm,-0.0705,0.2287,0.1777,0.2403,1.867542,backward,1.8665,,pre,pre,Elbow,0.0423,FALSE,Forearm,-0.0705
d2-001,2_toolusenotinVR,201,15,1,0.2453,0.7823,-0.5679,0.2477,0.8202,-0.7938,0.2465,0.8013,-0.6808,0.246,0.7623,-0.5721,Wrist,-0.0043,0.2291,0.2827,0.2992,0.8966044,forward,5.3519,,pre,pre,Wrist,-0.00420000000000009,FALSE,Wrist,-0.0043
d2-001,2_toolusenotinVR,201,16,1,0.2457,0.7822,-0.5678,0.2473,0.8205,-0.794,0.2465,0.8014,-0.6809,0.2465,0.7622,-0.6764,Forearm,0.0045,0.2294,0.1928,0.2931,1.670039,forward,4.2647,,pre,pre,Forearm,0.00449999999999995,FALSE,Forearm,0.0045
d2-001,2_toolusenotinVR,201,17,1,0.2465,0.7821,-0.5677,0.2466,0.8206,-0.7941,0.2466,0.8014,-0.6809,0.2466,0.7621,-1.0074,Elbow,-0.2133,0.2297,0.2842,0.2056,1.197049,backward,5.2305,,pre,pre,Elbow,-0.2133,FALSE,Elbow,-0.2133
d2-001,2_toolusenotinVR,201,18,1,0.2465,0.7819,-0.5676,0.246,0.8208,-0.794,0.2462,0.8014,-0.6808,0.2462,0.7619,-0.7963,Forearm,-0.1155,0.2297,0.1975,0.1968,1.342216,backward,8.2402,,pre,pre,Elbow,-0.00229999999999997,TRUE,Elbow,-0.00229999999999997
d2-001,2_toolusenotinVR,201,1,5,0.1966,0.7886,-0.5941,0.1782,0.8217,-0.8229,0.1874,0.8051,-0.7085,0.1883,0.7686,-0.6119,Wrist,-0.0178,0.232,0.2507,0.2068,0.3740059,backward,3.3102,,post,second,Wrist,-0.0178,FALSE,Wrist,-0.0178
d2-001,2_toolusenotinVR,201,2,5,0.1962,0.7887,-0.5935,0.1781,0.8218,-0.8226,0.1872,0.8052,-0.7081,0.186,0.7687,-0.7319,Forearm,-0.0238,0.2322,0.2264,0.269,1.788219,backward,1.8617,,post,second,Forearm,-0.0238,FALSE,Forearm,-0.0238
d2-001,2_toolusenotinVR,201,3,5,0.1965,0.7884,-0.5938,0.1778,0.8219,-0.823,0.1872,0.8052,-0.7084,0.1834,0.7684,-0.8759,Wrist,-0.2821,0.2324,0.2426,0.2686,0.5256546,backward,3.8464,,post,second,Elbow,-0.0529000000000001,TRUE,Elbow,-0.0529000000000001
d2-001,2_toolusenotinVR,201,4,5,0.1966,0.7887,-0.5935,0.1772,0.822,-0.8231,0.1869,0.8053,-0.7083,0.1812,0.7687,-0.9398,Elbow,-0.1167,0.2329,0.2788,0.2622,1.036933,backward,5.097,,post,second,Elbow,-0.1167,FALSE,Elbow,-0.1167
d2-001,2_toolusenotinVR,201,5,5,0.1961,0.7892,-0.5935,0.1772,0.8222,-0.8235,0.1866,0.8057,-0.7085,0.1864,0.7692,-0.7087,Forearm,-2e-04,0.2331,0.1978,0.2491,1.546191,forward,3.5103,,post,second,Forearm,-0.000199999999999978,FALSE,Forearm,-2e-04
d2-001,2_toolusenotinVR,201,6,5,0.196,0.7894,-0.5938,0.1767,0.8222,-0.8238,0.1863,0.8058,-0.7088,0.1799,0.7694,-0.9604,Elbow,-0.1367,0.2331,0.2282,0.233,0.2317583,backward,5.7097,,post,second,Elbow,-0.1366,FALSE,Elbow,-0.1367
d2-001,2_toolusenotinVR,201,7,5,0.1966,0.789,-0.5939,0.1767,0.822,-0.8236,0.1866,0.8055,-0.7087,0.1877,0.769,-0.6742,Wrist,-0.0803,0.2329,0.2785,0.2306,0.9677356,backward,2.1432,,post,second,Forearm,0.0345,FALSE,Wrist,-0.0803
