ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d2-001,1,post,first,753.0054101555056,525,2500.9504582794334,-1539.051288223814,320,750
d2-001,1,pre,pre,831.0907304802317,440,2515.201739810307,-1956.3626876066783,130,710
d2-001,2,post,first,795.7054620755916,425,2984.678547606949,-2333.575724782474,295,735
d2-001,2,pre,pre,578.1338556215828,800,1642.527610225839,-1523.759841420232,260,935
d2-001,3,post,first,809.7057052589226,495,2691.942265086665,-2498.814488932003,180,770
d2-001,3,pre,pre,533.3834271207111,870,1462.535740605923,-1354.7422640291973,255,1050
d2-001,4,post,first,739.9162129392412,515,2205.3056301102347,-1954.3039954208473,245,740
d2-001,4,pre,pre,603.935748993395,805,1300.5989597558964,-2267.0338467675283,280,1080
d2-001,5,post,first,759.9002409027864,415,3151.3159685185847,-2380.5073983013513,155,730
d2-001,5,pre,pre,630.2050604288308,755,1673.0997152218888,-1938.5116943097948,240,920
d2-001,6,post,first,688.9175050435272,510,2265.775528728541,-2104.8527861745365,270,800
d2-001,6,pre,pre,556.0683945574142,740,1439.605917031217,-1903.9984730861179,265,1060
d2-001,7,post,first,700.6813860393044,500,2334.2649793193295,-1675.3186616792198,195,755
d2-001,7,pre,pre,579.0411586502455,620,1497.4317258091464,-1302.5082590133125,190,1050
d2-001,8,post,first,762.9982074579978,465,3011.7366793760984,-1894.032891528645,220,665
d2-001,8,pre,pre,576.0418676980457,630,1261.212210380766,-1523.331363764469,175,1010
d2-001,9,post,first,850.4858701212775,485,3237.909484698711,-2613.646317410349,375,725
d2-001,9,pre,pre,608.9776436546639,690,1538.1114996822228,-1805.5572011228674,185,1015
d2-001,10,post,first,821.167232629517,445,2923.186994392291,-2188.0750577645294,220,735
d2-001,10,pre,pre,587.1501699252044,740,1218.4226120166454,-1697.4265462992562,75,985
d2-001,11,post,first,858.5918040989384,415,3462.1806427351817,-2620.4103273309497,205,615
d2-001,11,pre,pre,583.7007142915859,800,1311.2726403066324,-1704.720920610715,210,1095
d2-001,12,post,first,897.6699932212833,405,3863.8839538224,-2507.3546573998333,200,530
d2-001,12,pre,pre,455.4931678467531,885,1723.6456154813136,-947.0935528798259,245,1160
d2-001,13,post,first,738.7547115589234,455,2579.29576750895,-1953.2322536519011,175,845
d2-001,13,pre,pre,583.6756607148056,1040,1227.0740829208926,-1553.8977344977516,480,1290
d2-001,14,post,first,858.0861914947793,455,3651.3488452658075,-2329.7199304564692,290,665
d2-001,14,pre,pre,546.3052714480548,680,1233.6165926613016,-1454.8821730567072,210,1080
d2-001,15,post,first,910.8435834887669,370,3663.982201307872,-2638.8067435688267,225,585
d2-001,15,pre,pre,674.2999884627806,625,1567.3672044753193,-1971.9983388601079,295,870
d2-001,16,post,first,917.7505799174838,400,3884.429778850922,-2962.831623217308,270,625
d2-001,16,pre,pre,591.1144487226247,845,1523.3184816349235,-1736.9566222997325,335,1065
d2-001,17,post,first,1024.2160236279174,375,4078.100609143052,-3762.392813846939,205,565
d2-001,17,pre,pre,664.9257028912035,490,2197.729357674596,-2064.137882480438,165,840
d2-001,18,post,first,940.0332057396129,365,4219.354350895539,-2643.661810022695,240,615
d2-001,18,pre,pre,734.4269238968335,540,2259.1668967560404,-2572.5316105665643,270,770
d2-002,1,post,first,1077.392044921225,480,4621.262127164273,-3498.990049480161,390,585
d2-002,1,pre,pre,723.1951146796698,825,2295.0437251981616,-2398.397552399819,555,1035
d2-002,2,post,first,995.7235945794332,695,3026.2772995042706,-3193.417886584209,590,775
d2-002,2,pre,pre,719.5653738707852,740,1938.0741020474384,-2765.061261169888,420,950
d2-002,3,post,first,1097.376437685007,565,4513.6126071864555,-3848.863248807443,480,690
d2-002,3,pre,pre,850.4151669403243,590,3166.481525759565,-2278.32687412992,455,720
d2-002,4,post,first,1048.6780352626492,510,3238.0534482840185,-3510.554580461402,405,700
d2-002,4,pre,pre,904.4373578565107,580,3142.0519124202974,-3732.508313493428,115,745
d2-002,5,post,first,1020.9115857300471,595,3633.002352216543,-4119.557441732056,455,750
d2-002,5,pre,pre,971.5115901978145,550,3466.3258613285516,-2802.895685507475,415,815
d2-002,6,post,first,1171.5880184148427,505,4660.458629957517,-3779.9261896618887,370,555
d2-002,6,pre,pre,898.669117141355,590,4550.929154423532,-3566.721577317049,120,785
d2-002,7,post,first,1062.3514394554845,510,4290.5365089349725,-3295.5538634566174,380,725
d2-002,7,pre,pre,958.3484419423603,625,3476.3551009365683,-3031.1132088485456,465,780
d2-002,8,post,first,1103.9930739797705,550,4145.388033917619,-3833.8909300221144,425,665
d2-002,8,pre,pre,963.3457375610124,565,3384.8766722190494,-3052.306870122953,435,755
d2-002,9,post,first,1088.6679857751865,585,4228.5746566554635,-3709.435602579421,490,725
d2-002,9,pre,pre,963.0864863213213,545,3766.833334788784,-3411.1923806821214,460,810
d2-002,10,post,first,882.7378739103809,645,2229.3028716816307,-3175.987993270868,360,815
d2-002,10,pre,pre,1001.3742630038884,515,3303.2936031318895,-3076.5239228374044,370,625
d2-002,11,post,first,1051.0590437313701,505,3660.980293344762,-3502.441532127139,375,680
d2-002,11,pre,pre,907.3500084167149,585,2961.168477640381,-2955.806412414393,415,805
d2-002,12,post,first,1094.1266029653937,530,3614.066703797153,-3662.5957530121746,415,620
d2-002,12,pre,pre,920.722182610648,490,2773.396730155456,-2959.2542475594614,110,655
d2-002,13,post,first,1037.556594988921,580,3599.583317114313,-2958.0354558688755,445,830
d2-002,13,pre,pre,972.7362879936196,555,3275.8037719498734,-3492.094849815645,440,705
