ppid,trial_num_in_block,time,start_time
d2-001,1,post,400
d2-001,2,post,300
d2-001,3,post,345
d2-001,4,post,320
d2-001,5,post,365
d2-001,6,post,370
d2-001,7,post,195
d2-001,8,post,250
d2-001,9,post,180
d2-001,10,post,320
d2-001,11,post,340
d2-001,12,post,370
d2-001,13,post,275
d2-001,14,post,285
d2-001,15,post,385
d2-001,16,post,350
d2-001,17,post,315
d2-001,18,post,375
d2-001,1,pre,525
d2-001,2,pre,510
d2-001,3,pre,595
d2-001,4,pre,680
d2-001,5,pre,465
d2-001,6,pre,505
d2-001,7,pre,495
d2-001,8,pre,190
d2-001,9,pre,395
d2-001,10,pre,370
d2-001,11,pre,340
d2-001,12,pre,365
d2-001,13,pre,75
d2-001,14,pre,420
d2-001,15,pre,395
d2-001,16,pre,430
d2-001,17,pre,415
d2-001,18,pre,370
d2-002,1,post,495
d2-002,2,post,440
d2-002,3,post,515
d2-002,4,post,485
d2-002,5,post,550
d2-002,6,post,555
d2-002,7,post,530
d2-002,8,post,635
d2-002,9,post,515
d2-002,10,post,545
d2-002,11,post,550
d2-002,12,post,565
d2-002,13,post,785
d2-002,14,post,685
d2-002,15,post,565
d2-002,16,post,485
d2-002,17,post,510
d2-002,18,post,555
d2-002,1,pre,580
d2-002,2,pre,715
d2-002,3,pre,615
d2-002,4,pre,605
d2-002,5,pre,455
d2-002,6,pre,515
d2-002,7,pre,465
d2-002,8,pre,525
d2-002,9,pre,495
d2-002,10,pre,625
d2-002,11,pre,525
d2-002,12,pre,540
d2-002,13,pre,615
d2-002,14,pre,580
d2-002,15,pre,535
d2-002,16,pre,480
d2-002,17,pre,485
d2-002,18,pre,485
d2-003,1,post,500
d2-003,2,post,305
d2-003,3,post,355
d2-003,4,post,395
d2-003,5,post,340
d2-003,6,post,325
d2-003,7,post,505
d2-003,8,post,350
d2-003,9,post,390
d2-003,10,post,415
d2-003,11,post,400
d2-003,12,post,315
d2-003,13,post,215
d2-003,14,post,405
d2-003,15,post,315
d2-003,16,post,130
d2-003,17,post,405
d2-003,18,post,235
d2-003,1,pre,415
d2-003,2,pre,490
d2-003,3,pre,480
d2-003,4,pre,500
d2-003,5,pre,425
d2-003,6,pre,530
d2-003,7,pre,500
d2-003,8,pre,480
d2-003,9,pre,385
d2-003,10,pre,280
d2-003,11,pre,360
d2-003,12,pre,345
d2-003,13,pre,325
d2-003,14,pre,295
d2-003,15,pre,280
d2-003,16,pre,355
d2-003,17,pre,330
d2-003,18,pre,55
d2-004,1,post,510
d2-004,2,post,425
d2-004,3,post,480
d2-004,4,post,380
d2-004,5,post,510
d2-004,6,post,475
d2-004,7,post,595
d2-004,8,post,525
d2-004,9,post,440
d2-004,10,post,510
d2-004,11,post,385
d2-004,12,post,565
d2-004,13,post,570
d2-004,14,post,80
d2-004,15,post,370
d2-004,16,post,410
d2-004,17,post,390
d2-004,18,post,490
d2-004,1,pre,410
d2-004,2,pre,12800
d2-004,3,pre,420
d2-004,4,pre,40456
d2-004,5,pre,480
d2-004,6,pre,585
d2-004,7,pre,530
d2-004,8,pre,495
d2-004,9,pre,420
d2-004,10,pre,545
d2-004,11,pre,515
d2-004,12,pre,495
d2-004,13,pre,405
d2-004,14,pre,615
d2-004,15,pre,570
d2-004,16,pre,405
d2-004,17,pre,415
d2-004,18,pre,450
d2-005,1,post,425
d2-005,2,post,545
d2-005,3,post,470
d2-005,4,post,410
d2-005,5,post,430
d2-005,6,post,395
d2-005,7,post,495
d2-005,8,post,350
d2-005,9,post,395
